Feature Tag,English,id.lokalId,Feature #,Latitude,Longtitude,Tidsstempel,Category,Domain,Accessibility,Occluded Visibility,Note
Trae,Tree,1034116454,24,55.39195471445888,10.381763274324296,14/09/2020 10.39,True Positive,Public,100,0,
Hegn,Fence,1034187478,25,"(55.39065389570145, 55.39064996032643, 55.39067159263768, 55.39071415227186, 55.39073472740121, 55.39075200430765, 55.39076305243838, 55.390769553613424, 55.39077237995218, 55.3907689995558, 55.39075995436301, 55.390746361635536, 55.39073045233052, 55.39071735581646, 55.39070562406959, 55.390683008341824, 55.390662147628994, 55.39063620397075, 55.39060355324582, 55.39059999793154)","(10.382811228177232, 10.38284929792856, 10.382859525842699, 10.38289464001899, 10.382918882478577, 10.382948693548817, 10.382980971188369, 10.383017984430374, 10.383070025982969, 10.383106694268905, 10.383143638420659, 10.38317742404717, 10.383201498031545, 10.38321525006409, 10.383219576886429, 10.383224786746016, 10.383225795096772, 10.383223310487068, 10.383217907742099, 10.383246202089909)",14/09/2020 11.56,True Positive,Public,65,70,
Vandloebskant,Edge of stream,1034247434,26,"(55.38866874160539, 55.388806069847035, 55.38887042789411, 55.388891461950934, 55.38893835059214, 55.38902417176852, 55.38905214135436, 55.38932127496246, 55.389360035820374, 55.38943062538025, 55.38953988587022, 55.38975844473357, 55.389941446082034, 55.38999057481198, 55.39010488548175, 55.390159595937405, 55.390228794422654, 55.39028865713575, 55.390348253356564, 55.39052977601867, 55.39057540996001, 55.390620472132106, 55.39067475120315, 55.390728690439836, 55.390782013214235, 55.39082751943279, 55.3908733241961, 55.39094169697216, 55.39098894730833, 55.39105576825819, 55.39105517493716, 55.391161416206074, 55.391306418925275, 55.3914753217605, 55.39152638597081, 55.391665486146046, 55.39185044615124, 55.39189101508864, 55.3919229091106, 55.39192433435409, 55.39193161255095, 55.391931783419636, 55.39194734044824, 55.3919782541373, 55.39203260294622, 55.39205315808282, 55.39207101646558, 55.39210341724421, 55.39212049523548, 55.392137447298715, 55.39215279729971, 55.392161963113715)","(10.37931626363506, 10.379387035455798, 10.3794097996309, 10.37941732050681, 10.37945115921514, 10.379531031906497, 10.379561054625427, 10.37984954929582, 10.379886894827496, 10.379954713884539, 10.380059875928161, 10.38027478152905, 10.380510869192472, 10.380640777965395, 10.38096714919482, 10.38123934442731, 10.38151772926896, 10.381691747121348, 10.381754135476857, 10.382025389275219, 10.3820827129123, 10.382134964559947, 10.38216685551511, 10.382173157993373, 10.382154493763656, 10.382143608735873, 10.38211426196412, 10.382068019671761, 10.382030039651426, 10.381946166981043, 10.381919148425299, 10.381774444645535, 10.38161925065558, 10.381480361580138, 10.381502509304783, 10.381448153275347, 10.381359556005865, 10.38134818186646, 10.381348978192712, 10.381334186636082, 10.38133428252794, 10.381295290718588, 10.381294412177207, 10.381302437031103, 10.381328172839766, 10.381346257040247, 10.381364405112505, 10.381407848451541, 10.381439389710751, 10.381490030875122, 10.381547247450039, 10.381602985301418)",14/09/2020 10.36,True Positive,Public,40,75,
Vandloebskant,Edge of stream,1034247649,27,"(55.392223890657874, 55.39221869042908, 55.392164993785094, 55.392161963113715)","(10.381785136078642, 10.381776113031181, 10.381621090073212, 10.381602985301418)",N/A,Unknown,N/A,N/A,N/A,
Vandloebskant,Edge of stream,1034247425,28,"(55.392271478821904, 55.39227875286225, 55.392283806702096, 55.3923023050468, 55.392317577747214, 55.39233647702568, 55.39233922255552, 55.392334103861856, 55.392334152021924, 55.39233111257908)","(10.382957370738136, 10.382949888203385, 10.382924171139411, 10.38287776650578, 10.382822565433422, 10.382756596677654, 10.382736325040575, 10.382664465527556, 10.382636363263236, 10.382619047463942)",14/09/2020 10.47,True Positive,Public,0,0,
Vandloebskant,Edge of stream,1034247427,29,"(55.39234836868226, 55.39235070552954, 55.392362734771396, 55.39236466767499, 55.39236041106418, 55.392348741190894, 55.39233075031607, 55.39232520386894, 55.39232313765569, 55.39231958658511, 55.39231916893014)","(10.382610965915912, 10.38262683621397, 10.382683621869782, 10.382727266271349, 10.382769905195046, 10.382832337041147, 10.382889495802406, 10.382934931617745, 10.382982541451458, 10.38299457480319, 10.383007664866934)",14/09/2020 10.47,True Positive,Public,0,0,Tjek obstructed visibility
Vandloebskant,Edge of stream,1034247650,30,"(55.39231916893014, 55.3922958126008, 55.392271478821904)","(10.383007664866934, 10.382983008510314, 10.382957370738136)",14/09/2020 10.47,True Positive,Public,0,0,Expanded 29 after the fact.
Vandloebskant,Edge of stream,1034247651,31,"(55.392324190683304, 55.39233111257908)","(10.382579491946148, 10.382619047463942)",14/09/2020 10.47,True Positive,Public,0,0,Expanded 29 after the fact.
Vandloebskant,Edge of stream,1034247652,32,"(55.3923430405656, 55.39234836868226)","(10.382573518540902, 10.382610965915912)",14/09/2020 10.47,True Positive,Public,0,0,Expanded 29 after the fact.
Vandloebskant,Edge of stream,1034247426,33,"(55.392324190683304, 55.3923218324161, 55.39231138027987, 55.392283059769134, 55.39225938962565, 55.392233554085486, 55.39221838652867, 55.39220116697392, 55.39219900949847, 55.39220989957361, 55.39222015992927, 55.39223365909542, 55.39224686800232, 55.39225516774589, 55.392254261285764, 55.392241268623195, 55.3922456349674, 55.392255199594096, 55.392258992382764, 55.39228124964633, 55.39229803128559, 55.39231009453019, 55.392327622017824, 55.392342202915934, 55.3923430405656)","(10.382579491946148, 10.382565515561478, 10.382528205170141, 10.382457746482912, 10.382373398227557, 10.38232955145716, 10.382280077277349, 10.38220542753927, 10.382141881777114, 10.382060950005808, 10.382035730286017, 10.38202609645925, 10.382026241492207, 10.382039319885067, 10.38207181298396, 10.382124093947105, 10.382175085886225, 10.382211417832233, 10.38225749528933, 10.382331689396622, 10.382413271097187, 10.382467057939724, 10.382506509878446, 10.38256812113657, 10.382573518540902)",14/09/2020 10.44,True Positive,Public,0,2,
