,Unnamed: 0,Unnamed: 0.1,ID,x,y,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID.1,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
539,539,100,104,590675.5964,6136717.294,105652.5,5522.102838,N,1025.841575,E,4,11,,23.607,M,39.413,M,1.5,0008*75,,Tree,,104,-,-,1103670854,-,-
538,538,96,100,590671.6233,6136722.746,105550.7,5522.105821,N,1025.837921,E,4,10,,23.233,M,39.413,M,1.7,0008*78,,Tree,,100,-,-,1103670643,-,-
537,537,95,99,590676.7474,6136721.419,105539.2,5522.105049,N,1025.842745,E,4,11,,23.31,M,39.413,M,1.2,0008*7C,,Tree,,99,-,-,1103670532,-,-
536,536,94,98,590678.827,6136725.639,105530.25,5522.107301,N,1025.844795,E,4,10,,23.632,M,39.413,M,1.3,0008*77,,Tree,,98,-,-,1103670755,-,-
535,535,93,97,590683.3306,6136723.934,105519.85,5522.106332,N,1025.849024,E,4,11,,23.445,M,39.413,M,0.9,0008*73,,Tree,,97,-,-,1103670626,-,-
534,534,92,96,590693.4318,6136728.364,105459.75,5522.108607,N,1025.858669,E,4,14,,22.937,M,39.413,M,1.8,0008*78,,Tree,,96,-,-,1103670842,-,-
533,533,91,95,590692.413,6136722.442,105448.15,5522.105427,N,1025.85759,E,4,12,,23.282,M,39.413,M,1.1,0008*77,,Tree,,95,-,-,1103670502,-,-
532,532,90,94,590695.2436,6136716.746,105434.65,5522.102325,N,1025.860158,E,4,12,,22.539,M,39.413,M,1.6,0008*73,,Tree,,94,-,-,1103670396,-,-
531,531,89,93,590705.2503,6136714.83,105413.15,5522.101182,N,1025.86959,E,4,12,,22.953,M,39.413,M,1.1,0008*7A,,Tree,,93,-,-,1103670365,-,-
530,530,88,92,590708.713,6136685.76,105335.7,5522.085475,N,1025.872302,E,4,10,,23.098,M,39.413,M,1.7,0008*7A,,Tree,,92,-,-,1103670351,-,-
529,529,87,91,590709.6413,6136675.021,105314.1,5522.079677,N,1025.872971,E,4,9,,23.003,M,39.413,M,1.1,0008*7A,,Tree,,91,-,-,1103670490,-,-
528,528,86,90,590707.0091,6136679.543,105300.7,5522.082143,N,1025.870568,E,4,12,,22.356,M,39.413,M,1.7,0008*78,,Tree,,90,-,-,1103670496,-,-
527,527,85,89,590697.684,6136679.82,105242.7,5522.082396,N,1025.861749,E,4,11,,23.18,M,39.413,M,1.7,0008*70,,Tree,,89,-,-,1103670783,-,-
526,526,79,83,590673.2085,6136687.412,104821.7,5522.086759,N,1025.838734,E,4,5,,23.868,M,39.413,M,0.7,0008*79,,Tree,,83,-,-,1103670627,-,-
525,525,71,74,590685.5268,6136663.9,104519.2,5522.07395,N,1025.849934,E,4,8,,23.502,M,39.413,M,1.2,0008*71,,Tree,,74,-,-,1103670586,-,-
524,524,70,73,590689.8672,6136661.378,104508.9,5522.072543,N,1025.853993,E,4,8,,23.165,M,39.413,M,0.9,0008*74,,Tree,,73,-,-,1103670759,-,-
523,523,69,72,590686.5717,6136658.037,104456.95,5522.070778,N,1025.850809,E,4,8,,23.163,M,39.413,M,2,0008*7B,,Tree,,72,-,-,1103670394,-,-
522,522,66,69,590691.2809,6136655.71,104405.1,5522.069472,N,1025.85522,E,4,9,,22.22,M,39.413,M,1.1,0008*7D,,Tree,,69,-,-,-,-,-
521,521,58,61,590706.6116,6136647.557,104124.55,5522.064908,N,1025.86957,E,4,10,,23.121,M,39.413,M,1.5,0008*73,,Tree,,61,-,-,1103670542,-,-
520,520,57,60,590708.4953,6136644.41,104117.1,5522.06319,N,1025.871291,E,4,12,,23.008,M,39.413,M,1.1,0008*77,,Tree,,60,-,-,-,-,-
519,519,56,59,590711.4614,6136647.394,104104.95,5522.064766,N,1025.874156,E,4,10,,23.303,M,39.413,M,0.9,0008*7E,,Tree,,59,-,-,1103670433,-,-
518,518,55,58,590712.6072,6136650.533,104052,5522.066445,N,1025.875302,E,4,10,,22.88,M,39.413,M,2,0008*77,,Tree,,58,-,-,1103670406,-,-
517,517,48,51,590739.2274,6136653.822,103437.65,5522.067923,N,1025.900558,E,4,6,,23.52,M,39.413,M,1.6,0008*7F,,Tree,,51,-,-,1103670514,-,-
516,516,47,50,590728.9694,6136651.24,103350.35,5522.066645,N,1025.8908,E,4,5,,23.071,M,39.413,M,4.3,0008*72,,Tree,,50,-,-,1103670754,-,-
515,515,46,49,590724.6287,6136651.838,103332.45,5522.067015,N,1025.886704,E,4,8,,23.045,M,39.413,M,1.5,0008*75,,Tree,,49,-,-,1103670391,-,-
514,514,43,46,590721.7491,6136670.67,103216.85,5522.077197,N,1025.884345,E,4,12,,23.032,M,39.413,M,0.9,0008*7F,,Tree,,46,-,-,1103670700,-,-
513,513,42,45,590726.0534,6136670.676,103204.95,5522.077153,N,1025.888418,E,4,11,,23.123,M,39.413,M,0.9,0008*71,,Tree,,45,-,-,1103670678,-,-
512,512,40,43,590737.0117,6136671.695,103131.9,5522.077581,N,1025.898809,E,4,7,,23.189,M,39.413,M,0.9,0008*70,,Tree,,43,-,-,1103670984,-,-
511,511,39,42,590741.5446,6136672.231,103121.25,5522.07782,N,1025.903109,E,4,11,,23.02,M,39.413,M,1.3,0008*7F,,Tree,,42,-,-,1103670519,-,-
510,510,38,41,590743.748,6136658.779,103056.2,5522.070545,N,1025.904932,E,4,10,,22.997,M,39.413,M,1.2,0008*70,,Tree,,41,-,-,1103670364,-,-
509,509,37,40,590745.239,6136654.231,103019.55,5522.068077,N,1025.906255,E,4,7,,23.046,M,39.413,M,2.5,0008*73,,Tree,,40,-,-,1103670568,-,-
508,508,19,21,590788.6649,6136676.537,102339.75,5522.079618,N,1025.947785,E,4,12,,23.249,M,39.413,M,1.8,0008*72,,Tree,,21,-,-,1103670869,-,-
507,507,18,20,590786.721,6136673.61,102327.6,5522.078062,N,1025.945888,E,4,9,,23.139,M,39.413,M,1.6,0008*75,,Tree,,20,-,-,1103670846,-,-
506,506,17,19,590781.5982,6136675.639,102312.15,5522.079212,N,1025.94108,E,4,10,,23.185,M,39.413,M,1.1,0008*76,,Tree,,19,-,-,1103670597,-,-
505,505,16,18,590766.5857,6136675.189,102245.35,5522.079136,N,1025.926864,E,4,9,,22.965,M,39.413,M,1.4,0008*7B,,Tree,,18,-,-,1103670861,-,-
504,504,15,17,590761.8168,6136673.886,102234.55,5522.078487,N,1025.922326,E,4,12,,22.972,M,39.413,M,1.5,0008*72,,Tree,,17,-,-,1103670695,-,-
503,503,14,16,590757.2229,6136674.71,102219.55,5522.078982,N,1025.917994,E,4,11,,22.975,M,39.413,M,1.5,0008*7F,,Tree,,16,-,-,1103670972,-,-
502,502,10,12,590757.7121,6136666.925,102138.25,5522.074781,N,1025.918306,E,4,5,,22.917,M,39.413,M,1.3,0008*72,,Tree,,12,-,-,1103670581,-,-
501,501,2,3,590776.8167,6136656.367,101752.75,5522.068878,N,1025.93618,E,4,7,,23.082,M,39.413,M,1.8,0008*78,,Tree,,3,-,-,1103670673,-,-
500,500,248,261,590693.6681,6136787.812,132008.6,5522.140646,N,1025.860049,E,4,5,,23.533,M,39.415,M,1.6,0024*44,,Trash Can,,261,-,-,-,-,-
499,499,247,260,590694.9932,6136771.986,131940.4,5522.132102,N,1025.860995,E,4,8,,22.462,M,39.415,M,1.4,0024*73,,Trash Can,,260,-,-,-,-,-
498,498,68,71,590685.1046,6136652.329,104438.45,5522.067718,N,1025.84931,E,4,10,,22.023,M,39.413,M,1.5,0008*7B,,Trash Can,,71,-,-,-,-,-
497,497,60,63,590702.8697,6136650.236,104149.05,5522.066393,N,1025.866081,E,4,7,,22.569,M,39.413,M,2,0008*7F,,Trash Can,,63,-,-,-,-,-
496,496,54,57,590721.8885,6136645.42,104021.8,5522.063586,N,1025.883986,E,4,6,,22.398,M,39.413,M,1.8,0008*75,,Trash Can,,57,-,-,-,-,-
495,495,36,39,590747.1347,6136654.721,102948.15,5522.06832,N,1025.908058,E,4,6,,22.506,M,39.413,M,4.2,0008*40,,Trash Can,,39,-,-,-,-,-
494,494,29,32,590743.291,6136670.799,102751.8,5522.077028,N,1025.904734,E,4,12,,22.138,M,39.413,M,0.8,0008*79,,Trash Can,,32,-,-,-,-,-
493,493,12,14,590756.0603,6136672.267,102202,5522.077678,N,1025.916846,E,4,6,,22.349,M,39.413,M,2,0008*72,,Trash Can,,14,-,-,-,-,-
492,492,6,8,590757.6586,6136655.163,102021.55,5522.068442,N,1025.918026,E,4,9,,25.602,M,39.413,M,1.5,0008*7B,,Trash Can,,8,-,-,-,-,-
491,491,408,425,590625.4822,6136741.632,114059.05,5522.116511,N,1025.794622,E,4,12,1.2,23.346,M,39.413,M,2,0007*7B,,Light Fixture,,425,-,-,1034152974,-,-
490,490,407,424,590638.1496,6136736.635,114016.9,5522.113677,N,1025.806513,E,4,13,0.9,23.507,M,39.413,M,0.9,0007*7A,,Manhole Cover,,424,-,-,1034152864,-,-
489,489,406,423,590638.5873,6136731.777,113956.6,5522.111054,N,1025.806833,E,4,11,1.6,23.227,M,39.413,M,1.6,0007*70,,unknown,,423,-,-,-,-,-
488,488,405,422,590638.9471,6136725.525,113937.6,5522.107681,N,1025.807052,E,4,11,1.6,23.512,M,39.413,M,1.6,0007*78,,unknown,,422,-,-,-,-,-
487,487,404,421,590639.8312,6136722.951,113901.4,5522.106283,N,1025.807839,E,4,11,1.6,23.736,M,39.413,M,1.4,0007*74,,unknown,,421,-,-,-,-,-
486,486,362,379,590682.3541,6136652.614,111520.75,5522.067902,N,1025.846712,E,4,14,1,23.766,M,39.413,M,1.8,0007*77,,unknown,,379,-,-,-,-,-
485,485,360,377,590686.2933,6136652.765,111445.2,5522.06794,N,1025.850443,E,4,14,1,23.601,M,39.413,M,1.2,0007*73,,Light Fixture,,377,-,-,1103669380,-,-
484,484,357,374,590699.2511,6136645.687,111258.95,5522.063981,N,1025.862568,E,4,14,1,23.539,M,39.413,M,0.9,0007*79,,unknown,,374,-,-,-,-,-
482,482,589,607,590806.4336,6136678.119,132217.6,5522.080273,N,1025.964631,E,4,8,1.3,24.225,M,39.413,M,1.6,0013*7B,,Tree,,607,-,-,-,-,-
481,481,588,606,590805.8406,6136683.026,132151.15,5522.082925,N,1025.964165,E,4,10,1.6,24.402,M,39.413,M,1.1,0013*75,,Tree,,606,-,-,-,-,-
480,480,549,566,590797.6096,6136820.201,125519.15,5522.156951,N,1025.959048,E,4,7,2.4,26.677,M,39.413,M,1.1,0013*7A,,Tree,,566,-,-,-,-,-
479,479,548,565,590797.8368,6136818.433,125451.9,5522.155996,N,1025.959228,E,4,7,2.4,26.75,M,39.413,M,1.9,0013*72,,Tree,,565,-,-,-,-,-
478,478,547,564,590791.7046,6136817.948,125423.3,5522.155802,N,1025.953415,E,4,11,1.3,24.346,M,39.413,M,1.3,0013*70,,Tree,,564,-,-,-,-,-
477,477,522,538,590798.8775,6136769.154,123847.9,5522.129424,N,1025.959253,E,4,8,1.8,25.033,M,39.413,M,0.9,0013*70,,Tree,,538,-,-,-,-,-
476,476,521,537,590802.2901,6136770.088,123812.45,5522.12989,N,1025.962501,E,4,9,1.4,26.703,M,39.413,M,1.5,0013*74,,Tree,,537,-,-,-,-,-
475,475,520,536,590804.9043,6136707.264,123624.85,5522.095999,N,1025.963752,E,4,11,1.2,25.805,M,39.413,M,0.9,0013*78,,Tree,,536,-,-,-,-,-
474,474,519,535,590806.154,6136716.441,123558.75,5522.100932,N,1025.965113,E,4,5,10.3,26.865,M,39.413,M,1.8,0013*47,,Tree,,535,-,-,-,-,-
473,473,518,534,590804.9807,6136721.204,123537.3,5522.103512,N,1025.964095,E,4,10,1.3,26.818,M,39.413,M,1.3,0013*7B,,Tree,,534,-,-,-,-,-
388,388,509,525,590746.1371,6136681.342,122953.05,5522.082679,N,1025.907632,E,4,11,1,22.581,M,39.413,M,1,0013*71,,Manhole Cover,,525,-,-,1103665858,-,-
387,387,349,366,590715.752,6136644.887,110934.85,5522.063368,N,1025.878168,E,4,14,0.9,23.561,M,39.413,M,1.9,0007*79,,Manhole Cover,Stone,366,-,-,-,-,-
386,386,546,279,590785.7427,6136826.383,125314.95,5522.160415,N,1025.947937,E,4,9,2,22.379,M,39.413,M,0.9,0013*7A,,Manhole Cover,,279,-,-,1034152826,-,-
384,384,529,268,590702.352,6136818.406,124530.5,5522.15704,N,1025.868863,E,4,7,2.5,22.436,M,39.413,M,1.5,0013*78,,Manhole Cover,,268,-,-,1034153057,-,-
383,383,565,263,590709.3741,6136787.354,130121.7,5522.140226,N,1025.874904,E,4,6,2.8,22.933,M,39.413,M,1.7,0013*72,,Manhole Cover,,263,-,-,-,-,-
382,382,532,262,590705.7489,6136782.17,124712,5522.137472,N,1025.871372,E,4,7,2.2,22.409,M,39.413,M,1,0013*76,,Manhole Cover,,262,-,-,1034153061,-,-
381,381,577,253,590791.4259,6136751.23,130715.15,5522.119845,N,1025.951852,E,4,8,1.3,22.419,M,39.413,M,1.1,0013*70,,Manhole Cover,,253,-,-,1034152828,-,-
380,380,573,251,590789.5104,6136789.94,130531.75,5522.140731,N,1025.950793,E,4,9,1.7,22.424,M,39.413,M,1.8,0013*7A,,Manhole Cover,,251,-,-,1034152827,-,-
379,379,535,244,590702.9237,6136751.332,124826.05,5522.120882,N,1025.868099,E,4,10,1,22.398,M,39.413,M,1,0013*78,,Manhole Cover,,244,-,-,-,-,-
378,378,584,241,590708.657,6136743.191,131234.55,5522.11643,N,1025.873366,E,4,6,4.8,22.376,M,39.413,M,1.5,0013*7B,,Manhole Cover,,241,-,-,1034152861,-,-
377,377,582,235,590738.753,6136746.038,131115.2,5522.117631,N,1025.901904,E,4,8,1.7,22.44,M,39.413,M,1.2,0013*79,,Manhole Cover,,235,-,-,1034153298,-,-
376,376,578,234,590754.551,6136747.526,130811.45,5522.118258,N,1025.916883,E,4,10,1.1,22.459,M,39.413,M,1.5,0013*7A,,Manhole Cover,,234,-,-,1034153067,-,-
375,375,500,207,590711.4666,6136714.156,122624.7,5522.10075,N,1025.87546,E,4,10,1.2,22.426,M,39.413,M,1.7,0013*7F,,Manhole Cover,,207,-,-,-,-,-
373,373,460,206,590741.3365,6136717.282,121015.15,5522.102103,N,1025.903788,E,4,14,0.8,22.591,M,39.413,M,1.1,0013*7F,,Manhole Cover,,206,-,-,1034152859,-,-
372,372,459,205,590769.0811,6136719.975,120937.1,5522.103247,N,1025.930097,E,4,12,1.1,22.577,M,39.413,M,1.1,0013*71,,Manhole Cover,,205,-,-,-,-,-
371,371,458,204,590795.6107,6136722.531,120901.6,5522.104331,N,1025.955254,E,4,13,0.9,22.491,M,39.413,M,1.6,0013*72,,Manhole Cover,,204,-,-,-,-,-
370,370,587,161,590799.4356,6136686.734,132124.2,5522.084995,N,1025.958176,E,4,11,1,22.47,M,39.413,M,1.2,0013*7A,,Manhole Cover,,161,-,-,-,-,-
368,368,512,158,590776.0951,6136685,123050.45,5522.084319,N,1025.936054,E,4,11,1,22.556,M,39.413,M,1.5,0013*71,,Manhole Cover,,158,-,-,-,-,-
367,367,505,153,590715.702,6136678.436,122818.85,5522.08145,N,1025.878774,E,4,10,1.3,22.491,M,39.413,M,1.9,0013*7C,,Manhole Cover,,153,-,-,-,-,-
366,366,435,150,590678.5605,6136740.305,115622.2,5522.115208,N,1025.844828,E,4,12,1.2,23.482,M,39.413,M,1.2,0013*7B,,Manhole Cover,,150,-,-,1034152862,-,-
365,365,403,122,590647.9719,6136723.753,113835,5522.106626,N,1025.815558,E,4,11,1.6,23.779,M,39.413,M,2,0007*72,,Manhole Cover,,122,-,-,-,-,-
364,364,375,112,590652.9389,6136690.6,112235.45,5522.088702,N,1025.819614,E,4,6,4.7,23.91,M,39.413,M,1.5,0007*78,,Manhole Cover,,112,-,-,-,-,-
363,363,347,56,590721.829,6136647.114,110857.75,5522.0645,N,1025.883962,E,4,14,0.8,23.629,M,39.413,M,1.8,0007*74,,Manhole Cover,,56,-,-,1103665959,-,-
362,362,346,55,590720.3291,6136647.906,105945.9,5522.064944,N,1025.882558,E,4,12,1,23.603,M,39.415,M,1.9,0000*77,,Manhole Cover,,55,-,-,-,-,-
361,361,329,36,590742.042,6136664.446,104614.35,5522.073618,N,1025.903428,E,4,12,0.9,23.477,M,39.415,M,1.4,0000*7F,,Manhole Cover,,36,-,-,-,-,-
360,360,302,27,590776.9653,6136667.821,103539.95,5522.07505,N,1025.936543,E,4,11,1,23.482,M,39.415,M,0.9,0000*7E,,Manhole Cover,,27,-,-,-,-,-
359,359,303,24,590791.9435,6136655.331,103615.95,5522.068152,N,1025.950474,E,4,12,0.9,23.604,M,39.415,M,0.9,0000*73,,Manhole Cover,,24,-,-,-,-,-
358,358,590,23,590800.3831,6136669.374,132257.25,5522.075627,N,1025.958735,E,4,11,1,22.383,M,39.413,M,1.3,0013*7B,,Manhole Cover,,23,-,-,-,-,-
357,357,308,6,590775.4454,6136653.22,103822.9,5522.067197,N,1025.934821,E,4,9,2.1,23.65,M,39.415,M,1.9,0000*77,,Manhole Cover,,6,-,-,-,-,-
356,356,333,5,590760.9648,6136652.397,104837.25,5522.066914,N,1025.921101,E,4,9,2.2,23.559,M,39.415,M,1.3,0000*7B,,Manhole Cover,,5,-,-,-,-,-
355,355,309,4,590766.6069,6136656.933,103847.05,5522.069296,N,1025.926528,E,4,10,1.6,23.527,M,39.415,M,1,0000*73,,Manhole Cover,,4,-,-,-,-,-
354,354,564,288,590707.3381,6136799.112,130059.15,5522.146586,N,1025.873206,E,4,9,1.8,23.605,M,39.413,M,2.2,0013*77,,Light Fixture,,288,-,-,1034152906,-,-
353,353,538,287,590705.6642,6136816.759,125015.35,5522.156115,N,1025.871965,E,4,10,1.2,23.35,M,39.413,M,1.4,0013*7B,,Light Fixture,,287,-,-,1034152903,-,-
352,352,540,285,590724.655,6136818.481,125053.1,5522.156833,N,1025.889971,E,4,9,1.3,23.634,M,39.413,M,1.1,0013*73,,Light Fixture,,285,-,-,1034152902,-,-
351,351,542,283,590743.7394,6136820.245,125137.8,5522.157572,N,1025.908067,E,4,10,1.1,23.481,M,39.413,M,1.8,0013*72,,Light Fixture,,283,-,-,-,-,-
350,350,544,281,590762.6339,6136822.055,125215.3,5522.158339,N,1025.925983,E,4,10,1.1,23.64,M,39.413,M,1.3,0013*79,,Light Fixture,,281,-,-,1034152900,-,-
349,349,524,273,590742.0215,6136840.054,124251.7,5522.168268,N,1025.906826,E,4,13,0.8,23.561,M,39.413,M,0.7,0013*72,,Light Fixture,,273,-,-,-,-,-
348,348,526,271,590722.7072,6136838.562,124359.75,5522.167678,N,1025.888519,E,4,11,1.1,23.487,M,39.413,M,1.8,0013*7B,,Light Fixture,,271,-,-,1034152897,-,-
347,347,567,258,590709.1198,6136781.001,130217.4,5522.136804,N,1025.87454,E,4,8,2.1,23.846,M,39.413,M,1.4,0013*79,,Light Fixture,,258,-,-,1034152907,-,-
346,346,568,257,590741.0598,6136788.971,130307.75,5522.140746,N,1025.904922,E,4,9,1.7,23.594,M,39.413,M,1.8,0013*78,,Light Fixture,,257,-,-,1113474651,-,-
345,345,569,256,590751.8985,6136789.901,130332.1,5522.141127,N,1025.915198,E,4,9,1.2,23.726,M,39.413,M,1.1,0013*77,,Light Fixture,,256,-,-,1113474817,-,-
344,344,550,255,590783.6077,6136806.553,125605.65,5522.149751,N,1025.94553,E,4,10,1.1,23.461,M,39.413,M,1.6,0013*72,,Light Fixture,,255,-,-,1034152905,-,-
343,343,575,254,590787.2058,6136770.529,130623.05,5522.130294,N,1025.948234,E,4,9,1.6,23.33,M,39.413,M,1,0013*76,,Light Fixture,,254,-,-,1034152976,-,-
342,342,572,250,590785.2327,6136788.187,130514.55,5522.139833,N,1025.946711,E,4,8,2.1,23.486,M,39.413,M,1.5,0013*7D,,Light Fixture,,250,-,-,1034152977,-,-
341,341,571,248,590753.2751,6136774.234,130425.15,5522.132668,N,1025.916195,E,4,8,1.4,23.692,M,39.413,M,1.1,0013*79,,Light Fixture,,248,-,-,1113474623,-,-
340,340,570,247,590742.8101,6136773.688,130405.5,5522.132489,N,1025.906281,E,4,9,1.7,23.746,M,39.413,M,1.5,0013*71,,Light Fixture,,247,-,-,1113474640,-,-
339,339,583,239,590721.1529,6136748.637,131142.55,5522.119227,N,1025.885298,E,4,9,1.5,23.08,M,39.413,M,1.5,0013*70,,Light Fixture,,239,-,-,1034152909,-,-
338,338,579,233,590750.4253,6136751.424,130825.2,5522.120405,N,1025.913054,E,4,10,1.1,23.261,M,39.413,M,1.2,0013*7D,,Light Fixture,,233,-,-,1034152910,-,-
