,ID,oldID,timestamp,x,latDir,y,lonDir,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,typename,subcategory,note,Kortopslag,Samaqua,GeoDanmark,Energifyn
,224,,,587663.1585,N,6139217.651,E,,,,,,,,,,Tree,Totalstation,,,,,
,225,,,587665.9732,N,6139226.1,E,,,,,,,,,,Tree,Totalstation,,,,,
,226,,,587641.9456,N,6139166.062,E,,,,,,,,,,Bench,Totalstation,,,,,
,227,,,587641.8985,N,6139168.562,E,,,,,,,,,,Trash Can,Totalstation,,,,,
,228,,,587558.4301,N,6139157.477,E,,,,,,,,,,Tree,Totalstation,,,,,
,230,,,587578.286,N,6139160.827,E,,,,,,,,,,Tree,Totalstation,,,,,
,231,,,587582.1612,N,6139169.765,E,,,,,,,,,,Tree,Totalstation,,,,,
,232,,,587582.9981,N,6139174.263,E,,,,,,,,,,Tree,Totalstation,,,,,
,233,,,587581.9596,N,6139177.917,E,,,,,,,,,,Tree,Totalstation,,,,,
,234,,,587585.1839,N,6139177.787,E,,,,,,,,,,Tree,Totalstation,,,,,
,235,,,587587.0434,N,6139173.44,E,,,,,,,,,,Tree,Totalstation,,,,,
,236,,,587601.4009,N,6139184.618,E,,,,,,,,,,Tree,Totalstation,,,,,
,237,,,587597.2783,N,6139195.324,E,,,,,,,,,,Tree,Totalstation,,,,,
,238,,,587610.1885,N,6139235.31,E,,,,,,,,,,Tree,Totalstation,,,,,
,239,,,587602.9958,N,6139237.77,E,,,,,,,,,,Tree,Totalstation,,,,,
,240,,,587596.7867,N,6139238.531,E,,,,,,,,,,Tree,Totalstation,,,,,
,241,,,587602.2807,N,6139251.859,E,,,,,,,,,,Tree,Totalstation,,,,,
,242,,,587602.5618,N,6139255.745,E,,,,,,,,,,Tree,Totalstation,,,,,
,243,,,587606.529,N,6139255.986,E,,,,,,,,,,Tree,Totalstation,,,,,
,244,,,587612.7853,N,6139255.039,E,,,,,,,,,,Tree,Totalstation,,,,,
,245,,,587619.582,N,6139250.254,E,,,,,,,,,,Tree,Totalstation,,,,,
,246,,,587602.4626,N,6139266.529,E,,,,,,,,,,Tree,Totalstation,,,,,
,247,,,587612.0707,N,6139262.551,E,,,,,,,,,,Tree,Totalstation,,,,,
,248,,,587613.3018,N,6139269.42,E,,,,,,,,,,Tree,Totalstation,,,,,
,249,,,587610.033,N,6139283.728,E,,,,,,,,,,Tree,Totalstation,,,,,
,250,,,587637.0743,N,6139268.489,E,,,,,,,,,,Tree,Totalstation,,,,,
,251,,,587638.0316,N,6139275.145,E,,,,,,,,,,Tree,Totalstation,,,,,
,252,,,587641.2248,N,6139270.016,E,,,,,,,,,,Tree,Totalstation,,,,,
,253,,,587628.0939,N,6139261.09,E,,,,,,,,,,Tree,Totalstation,,,,,
,254,,,587625.111,N,6139259.564,E,,,,,,,,,,Tree,Totalstation,,,,,
,255,,,587623.281,N,6139268.761,E,,,,,,,,,,Bench,Totalstation,,,,,
,256,,,587619.8939,N,6139269.277,E,,,,,,,,,,Bench,Totalstation,,,,,
,257,,,587617.5651,N,6139269.637,E,,,,,,,,,,Trash Can,Totalstation,,,,,
,258,,,587636.5072,N,6139249.397,E,,,,,,,,,,Tree,Totalstation,,,,,
,259,,,587641.4826,N,6139246.801,E,,,,,,,,,,Tree,Totalstation,,,,,
,260,,,587643.5411,N,6139249.079,E,,,,,,,,,,Tree,Totalstation,,,,,
,261,,,587646.1232,N,6139252.821,E,,,,,,,,,,Tree,Totalstation,,,,,
,262,,,587594.0994,N,6139222.703,E,,,,,,,,,,Trash Can,Totalstation,,,,,
,263,,,587600.5614,N,6139208.622,E,,,,,,,,,,Bench,Totalstation,,,,,
,264,,,587591.6651,N,6139195.532,E,,,,,,,,,,Bench,Totalstation,,,,,
,265,,,587597.7109,N,6139184.781,E,,,,,,,,,,Bench,Totalstation,,,,,
,266,,,587597.563,N,6139257.091,E,,,,,,,,,,Tree,Totalstation,,,,,
,267,,,587588.7759,N,6139255.278,E,,,,,,,,,,Tree,Totalstation,,,,,
,268,,,587584.0222,N,6139256.167,E,,,,,,,,,,Tree,Totalstation,,,,,
,269,,,587589.9256,N,6139259.988,E,,,,,,,,,,Tree,Totalstation,,,,,
,270,,,587587.0132,N,6139265.638,E,,,,,,,,,,Tree,Totalstation,,,,,
,271,,,587591.4375,N,6139271.655,E,,,,,,,,,,Tree,Totalstation,,,,,
