"Date: 11/09, Time: 11.00, Area: University Parking Lot",,,,,,,,,,,,
Feature Tag,English,id.lokalId,Feature #,Latitude,Longtitude,Timestamp,Exists?,Accessibility,Occluded Visibility,Domain,Category,Note (optional)
Mast,Mast (light fixture),1034152952,48,55.36863575,10.43095591,9/11/2020 11:39:34,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034152953,49,55.36861988,10.43061545,9/11/2020 11:43:21,No,N/A,N/A,N/A,False Positive,
Mast,Mast (light fixture),1034152954,50,55.36853335,10.43052144,9/11/2020 11:49:47,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034152955,51,55.36876479,10.43055046,9/11/2020 11:43:44,Yes,0,75,Public,True Positive,
Mast,Mast (light fixture),1034152975,52,55.36860576,10.43025533,9/11/2020 11:48:58,No,N/A,N/A,N/A,False Positive,
Mast,Mast (light fixture),1034152976,53,55.36883677,10.43246916,9/11/2020 11:33:30,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034152977,54,55.36899917,10.43244536,9/11/2020 11:21:30,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034152988,55,55.36843223,10.43058485,9/11/2020 11:54:58,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034152989,56,55.3682618,10.43052679,9/11/2020 11:54:38,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034153008,57,55.36808656,10.43054903,9/11/2020 13:02:31,Yes,30,75,Public,True Positive,
Mast,Mast (light fixture),1034152928,58,55.36795723,10.4323768,9/11/2020 12:39:51,Yes,40,61,Public,True Positive,
Mast,Mast (light fixture),1034152930,59,55.36794742,10.43157186,9/11/2020 12:56:22,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1103668986,60,55.36794853,10.43196875,9/11/2020 12:43:56,Yes,30,67,Public,True Positive,
Mast,Mast (light fixture),1103668991,61,55.36778668,10.43139249,9/11/2020 12:50:48,Yes,30,75,Public,True Positive,
Mast,Mast (light fixture),1103669242,62,55.36819587,10.43098438,9/11/2020 11:59:05,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1103669248,63,55.36784398,10.43197917,9/11/2020 12:43:01,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1103669265,64,55.36787346,10.43175665,9/11/2020 12:46:53,Yes,30,78,Public,True Positive,
Mast,Mast (light fixture),1103669300,65,55.36780554,10.43103293,9/11/2020 12:57:53,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1210520552,66,55.36866156,10.43107724,9/11/2020 11:39:13,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1210520553,67,55.36886669,10.43105009,9/11/2020 11:27:14,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1210520554,68,55.36909239,10.43102399,9/11/2020 11:14:23,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1210520555,69,55.36931181,10.43099593,9/11/2020 11:13:53,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152772,70,55.36786901,10.4315067,9/11/2020 12:49:25,Yes,70,33,Public,True Positive,
Nedloebsrist,Downspout Grille,1202730954,71,55.36928624,10.43164529,9/11/2020 11:11:26,Yes,0,61,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152744,72,55.36870251,10.43259134,9/11/2020 11:35:44,No,N/A,N/A,N/A,False Positive,
Nedloebsrist,Downspout Grille,1034152754,73,55.36829394,10.43166579,9/11/2020 12:23:15,Yes,0,33,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152763,74,55.36848927,10.43243625,9/11/2020 12:14:08,Yes,0,75,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152764,75,55.3681675,10.4324778,9/11/2020 12:35:35,Yes,0,42,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152870,76,55.36860412,10.43035642,9/11/2020 11:48:42,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152749,77,55.36853674,10.43120702,9/11/2020 11:38:27,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152774,78,55.36787654,10.43170011,9/11/2020 12:48:32,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152778,79,55.36801832,10.43223999,9/11/2020 12:45:26,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1103669436,80,55.3678951,10.43210268,9/11/2020 12:42:29,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1103669698,81,55.3681226,10.43254403,9/11/2020 12:36:39,No,N/A,N/A,N/A,False Positive,
Nedloebsrist,Downspout Grille,1103669774,82,55.36789082,10.43200848,9/11/2020 12:42:47,Yes,70,61,Public,True Positive,
Nedloebsrist,Downspout Grille,1103669907,83,55.36790429,10.4323621,9/11/2020 12:40:37,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1103669971,84,55.36815135,10.43125638,9/11/2020 12:25:35,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1103669990,85,55.36797835,10.43127917,9/11/2020 12:26:36,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1103670043,86,55.36787424,10.43160488,9/11/2020 12:49:07,Yes,70,33,Public,True Positive,
