area name,tag,type,amount
suburb,Hegn,LineString,17
suburb,Vejkant,LineString,5
suburb,Chikane,None,0
suburb,Vandloebskant,None,0
suburb,Helle,None,0
suburb,Trafikhegn,None,0
suburb,Jernbane,None,0
suburb,Broenddaeksel,Point,6
suburb,Mast,Point,6
suburb,Nedloebsrist,Point,13
suburb,Trae,None,0
suburb,Skorsten,None,0
suburb,Bygning,Polygon,13
suburb,KratBevoksning,Polygon,1
suburb,Soe,None,0
suburb,Bassin,None,0
university_parking,Hegn,None,0
university_parking,Vejkant,LineString,6
university_parking,Chikane,None,0
university_parking,Vandloebskant,None,0
university_parking,Helle,None,0
university_parking,Trafikhegn,None,0
university_parking,Jernbane,None,0
university_parking,Broenddaeksel,Point,4
university_parking,Mast,Point,12
university_parking,Nedloebsrist,Point,10
university_parking,Trae,Point,9
university_parking,Skorsten,None,0
university_parking,Bygning,None,0
university_parking,KratBevoksning,None,0
university_parking,Soe,None,0
university_parking,Bassin,None,0
university_campus,Hegn,None,0
university_campus,Vejkant,LineString,8
university_campus,Chikane,None,0
university_campus,Vandloebskant,None,0
university_campus,Helle,None,0
university_campus,Trafikhegn,None,0
university_campus,Jernbane,None,0
university_campus,Broenddaeksel,Point,4
university_campus,Mast,Point,3
university_campus,Nedloebsrist,Point,2
university_campus,Trae,None,0
university_campus,Skorsten,None,0
university_campus,Bygning,Polygon,1
university_campus,KratBevoksning,None,0
university_campus,Soe,None,0
university_campus,Bassin,None,0
downtown,Hegn,None,0
downtown,Vejkant,LineString,2
downtown,Chikane,None,0
downtown,Vandloebskant,None,0
downtown,Helle,None,0
downtown,Trafikhegn,None,0
downtown,Jernbane,None,0
downtown,Broenddaeksel,Point,5
downtown,Mast,Point,2
downtown,Nedloebsrist,Point,2
downtown,Trae,Point,4
downtown,Skorsten,None,0
downtown,Bygning,Polygon,14
downtown,KratBevoksning,None,0
downtown,Soe,None,0
downtown,Bassin,None,0
harbor,Hegn,LineString,4
harbor,Vejkant,LineString,4
harbor,Chikane,None,0
harbor,Vandloebskant,None,0
harbor,Helle,None,0
harbor,Trafikhegn,None,0
harbor,Jernbane,None,0
harbor,Broenddaeksel,None,0
harbor,Mast,None,0
harbor,Nedloebsrist,None,0
harbor,Trae,Point,2
harbor,Skorsten,None,0
harbor,Bygning,Polygon,3
harbor,KratBevoksning,None,0
harbor,Soe,None,0
harbor,Bassin,None,0
park,Hegn,None,0
park,Vejkant,LineString,3
park,Chikane,None,0
park,Vandloebskant,None,0
park,Helle,None,0
park,Trafikhegn,None,0
park,Jernbane,None,0
park,Broenddaeksel,None,0
park,Mast,Point,3
park,Nedloebsrist,None,0
park,Trae,Point,1
park,Skorsten,None,0
park,Bygning,None,0
park,KratBevoksning,Polygon,2
park,Soe,None,0
park,Bassin,None,0
