area name,tag,type,amount
suburb,Hegn,LineString,43
suburb,Vejkant,LineString,9
suburb,Chikane,None,0
suburb,Vandloebskant,None,0
suburb,Helle,None,0
suburb,Trafikhegn,None,0
suburb,Jernbane,None,0
suburb,Broenddaeksel,Point,8
suburb,Mast,Point,10
suburb,Nedloebsrist,Point,16
suburb,Trae,Point,1
suburb,Skorsten,None,0
suburb,Bygning,Polygon,27
suburb,KratBevoksning,Polygon,1
suburb,Soe,None,0
suburb,Bassin,None,0
university_parking,Hegn,None,0
university_parking,Vejkant,LineString,12
university_parking,Chikane,None,0
university_parking,Vandloebskant,None,0
university_parking,Helle,None,0
university_parking,Trafikhegn,None,0
university_parking,Jernbane,None,0
university_parking,Broenddaeksel,Point,9
university_parking,Mast,Point,27
university_parking,Nedloebsrist,Point,31
university_parking,Trae,Point,17
university_parking,Skorsten,None,0
university_parking,Bygning,Polygon,1
university_parking,KratBevoksning,None,0
university_parking,Soe,None,0
university_parking,Bassin,None,0
university_campus,Hegn,LineString,2
university_campus,Vejkant,LineString,12
university_campus,Chikane,None,0
university_campus,Vandloebskant,None,0
university_campus,Helle,None,0
university_campus,Trafikhegn,None,0
university_campus,Jernbane,None,0
university_campus,Broenddaeksel,Point,8
university_campus,Mast,Point,4
university_campus,Nedloebsrist,Point,4
university_campus,Trae,Point,6
university_campus,Skorsten,None,0
university_campus,Bygning,Polygon,1
university_campus,KratBevoksning,None,0
university_campus,Soe,None,0
university_campus,Bassin,None,0
downtown,Hegn,LineString,5
downtown,Vejkant,LineString,3
downtown,Chikane,None,0
downtown,Vandloebskant,None,0
downtown,Helle,None,0
downtown,Trafikhegn,None,0
downtown,Jernbane,None,0
downtown,Broenddaeksel,Point,8
downtown,Mast,Point,4
downtown,Nedloebsrist,Point,5
downtown,Trae,Point,8
downtown,Skorsten,None,0
downtown,Bygning,Polygon,26
downtown,KratBevoksning,None,0
downtown,Soe,None,0
downtown,Bassin,None,0
harbor,Hegn,LineString,5
harbor,Vejkant,LineString,7
harbor,Chikane,None,0
harbor,Vandloebskant,None,0
harbor,Helle,None,0
harbor,Trafikhegn,None,0
harbor,Jernbane,None,0
harbor,Broenddaeksel,Point,3
harbor,Mast,None,0
harbor,Nedloebsrist,Point,5
harbor,Trae,Point,15
harbor,Skorsten,None,0
harbor,Bygning,Polygon,3
harbor,KratBevoksning,None,0
harbor,Soe,None,0
harbor,Bassin,None,0
park,Hegn,None,0
park,Vejkant,LineString,8
park,Chikane,None,0
park,Vandloebskant,LineString,4
park,Helle,None,0
park,Trafikhegn,None,0
park,Jernbane,None,0
park,Broenddaeksel,None,0
park,Mast,Point,4
park,Nedloebsrist,None,0
park,Trae,Point,5
park,Skorsten,None,0
park,Bygning,None,0
park,KratBevoksning,Polygon,2
park,Soe,Polygon,1
park,Bassin,None,0
