ID,x,latDir,y,lonDir,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
66,587590.4577,N,6139581.745,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
67,587573.6472,N,6139575.439,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
68,587559.5428,N,6139570.196,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
69,587545.4505,N,6139564.978,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
70,587525.5673,N,6139557.837,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
71,587524.1158,N,6139561.373,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
72,587534.3852,N,6139564.721,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
73,587545.2459,N,6139568.276,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
74,587550.15,N,6139570.287,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
75,587555.3268,N,6139571.879,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
76,587567.6182,N,6139576.304,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
77,587579.7505,N,6139580.596,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
78,587589.1068,N,6139583.932,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
79,587607.0195,N,6139590.396,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
80,587609.228,N,6139595.796,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
81,587601.2855,N,6139613.166,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
82,587569.2221,N,6139669.905,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
83,587564.4452,N,6139680.66,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
84,587570.6087,N,6139670.344,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
85,587575.374,N,6139665.492,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
86,587579.7814,N,6139658.143,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
87,587584.8845,N,6139648.543,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
88,587586.6068,N,6139639.807,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
89,587593.8879,N,6139629.444,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
90,587603.8774,N,6139615.28,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
91,587606.5745,N,6139607.698,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
92,587613.2413,N,6139603.678,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
93,587607.545,N,6139616.961,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
94,587597.5707,N,6139631.055,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
95,587593.3673,N,6139638.326,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
96,587587.2226,N,6139652.444,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
97,587581.4691,N,6139662.65,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
98,587575.7441,N,6139671.896,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
99,587569.8334,N,6139680.071,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
100,587619.3245,N,6139600.377,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
101,587693.0314,N,6139641.388,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
102,587700.6011,N,6139647.742,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
103,587685.4247,N,6139635.965,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
104,587677.3353,N,6139630.347,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
