ID,date,time,lat,latDir,lon,lonDir,fix,nSat,altitude,altitudeUnit,height,heightUnit,hError,checksum,typename,sub category,note,n,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
73,13/11/2020,104906.6,55.40860007,N,10.37834698,E,4,9,3.778,M,39.447,M,1.6,0015*4D,Downspout Grille,,,43,,,,,
75,13/11/2020,104956.35,55.40845673,N,10.37848728,E,4,9,3.672,M,39.447,M,1.4,0015*45,Downspout Grille,,,44,,,,,
76,13/11/2020,105017.4,55.40838982,N,10.37838378,E,4,12,3.706,M,39.447,M,1.4,0015*42,Downspout Grille,,,45,,,,,
77,13/11/2020,105028.45,55.4083804,N,10.37835688,E,4,13,3.698,M,39.447,M,1.5,0015*42,Downspout Grille,,,46,,,,,
78,13/11/2020,105101.7,55.4083216,N,10.3786119,E,4,12,3.597,M,39.447,M,1.7,0015*41,Downspout Grille,,,47,,,,,
85,13/11/2020,105848.75,55.40788957,N,10.37903238,E,4,8,3.879,M,39.447,M,0.8,0015*41,Downspout Grille,,,48,,,,,
87,13/11/2020,105948.2,55.40777245,N,10.37914717,E,4,11,3.873,M,39.447,M,1.2,0015*46,Downspout Grille,,,49,,,,,
91,13/11/2020,110126.95,55.40789802,N,10.37927647,E,4,7,3.757,M,39.447,M,0.9,0015*4E,Downspout Grille,,,50,,,14,,
96,13/11/2020,110406.15,55.4079883,N,10.37955532,E,4,7,3.915,M,39.447,M,1.1,0015*44,Downspout Grille,,,51,,,51,,
98,13/11/2020,110459.15,55.40802507,N,10.3796762,E,4,5,3.856,M,39.447,M,5.2,0015*70,Downspout Grille,,,52,,,,,
100,13/11/2020,110815.8,55.40806728,N,10.37980582,E,4,6,3.843,M,39.447,M,1.8,0015*45,Downspout Grille,,,53,,,55,,
107,13/11/2020,111422.45,55.4081256,N,10.38019453,E,4,10,3.802,M,39.447,M,1.5,0015*4B,Downspout Grille,,,54,,,47,,
114,13/11/2020,111836.65,55.40834683,N,10.37998107,E,4,11,3.776,M,39.447,M,1.6,0015*41,Downspout Grille,,,55,,,,,
116,13/11/2020,111950.35,55.40846078,N,10.37987092,E,4,13,3.754,M,39.447,M,1.4,0015*47,Downspout Grille,,,56,,,,13,
119,13/11/2020,112130.05,55.40844165,N,10.37970865,E,4,13,3.81,M,39.447,M,1,0015*4A,Downspout Grille,,,57,,,,17,
122,13/11/2020,112252.85,55.40857592,N,10.3797603,E,4,12,3.734,M,39.447,M,0.9,0015*4F,Downspout Grille,,,58,,,44,14,
124,13/11/2020,112343.1,55.40868992,N,10.37965122,E,4,10,3.734,M,39.447,M,1.1,0015*49,Downspout Grille,,,59,,,,15,
130,13/11/2020,112630.05,55.40881512,N,10.37929257,E,4,9,3.793,M,39.447,M,2,0015*4C,Downspout Grille,,,60,,,,16,
131,13/11/2020,112659.4,55.40892073,N,10.37942943,E,4,10,3.696,M,39.447,M,1.4,0015*4F,Downspout Grille,,,61,,,41,,
132,13/11/2020,112730.9,55.40880552,N,10.37954095,E,4,12,3.689,M,39.447,M,1.9,0015*48,Downspout Grille,,,62,,,,18,
135,13/11/2020,113102.75,55.40904958,N,10.37831602,E,4,13,3.968,M,39.447,M,1.8,0015*4C,Downspout Grille,,,63,,,,,
141,13/11/2020,113529.95,55.40836437,N,10.3794695,E,4,9,4.047,M,39.447,M,2,0015*4B,Downspout Grille,,,64,,,,,
142,13/11/2020,113619.6,55.4083087,N,10.37928552,E,4,10,4.02,M,39.447,M,1.6,0015*4C,Downspout Grille,,,65,,,,,
145,13/11/2020,113913.15,55.40807895,N,10.37885033,E,4,11,3.773,M,39.447,M,1.1,0015*44,Downspout Grille,,,66,,,59,,
154,13/11/2020,114444.8,55.40824173,N,10.37931172,E,4,9,3.781,M,39.447,M,0.8,0015*48,Downspout Grille,,,67,,,,,
159,13/11/2020,115003.45,55.40889007,N,10.37907577,E,4,10,3.828,M,39.447,M,1.5,0015*4F,Downspout Grille,,,68,,,,,
160,13/11/2020,115034.75,55.40879433,N,10.37876665,E,4,11,3.836,M,39.447,M,0.8,0015*4C,Downspout Grille,,,69,,,,,
161,13/11/2020,115055.95,55.40877222,N,10.378692,E,4,10,4.004,M,39.447,M,2,0015*4E,Downspout Grille,,,70,,,,,
162,13/11/2020,115126.2,55.4086922,N,10.37844207,E,4,10,3.858,M,39.447,M,1.2,0015*4F,Downspout Grille,,,71,,,,,
64,13/11/2020,104251.05,55.40827983,N,10.37842612,E,4,12,3.814,M,39.447,M,2,0015*4B,Fuse Box,,,72,58,,,,
11,13/11/2020,100924.75,55.40902383,N,10.37928442,E,4,11,3.643,M,39.447,M,0.8,0015*44,Light Fixture,Three lights,,73,"11,32,35",,24,,
14,13/11/2020,101324.55,55.40910272,N,10.37896217,E,4,13,4.136,M,39.447,M,1.5,0015*48,Light Fixture,Three lights,,74,"33,34",,27,,
15,13/11/2020,101422.9,55.4093385,N,10.37873718,E,4,13,4.122,M,39.447,M,0.9,0015*4B,Light Fixture,,,75,,,,,
18,13/11/2020,101615.35,55.40909205,N,10.37788663,E,4,14,4.097,M,39.447,M,1.4,0015*4F,Light Fixture,,,76,,,19,,
21,13/11/2020,101858.6,55.4088915,N,10.378826,E,4,12,3.869,M,39.447,M,1.6,0015*4A,Light Fixture,,,77,"24,31,36,37",,28,,
24,13/11/2020,102038,55.4087389,N,10.37833078,E,4,10,4.045,M,39.447,M,1,0015*46,Light Fixture,,,78,"23,30,38,39",,30,,
32,13/11/2020,102452.65,55.40863388,N,10.37799372,E,4,13,3.844,M,39.447,M,0.6,0015*47,Light Fixture,,,79,"21,22,29,40",,22,,
56,13/11/2020,103648.55,55.40760772,N,10.37816503,E,4,8,4.148,M,39.447,M,1.5,0015*4B,Light Fixture,Very big lamppost,,80,,,26,,
58,13/11/2020,103844.05,55.40797772,N,10.37817968,E,4,8,4.072,M,39.447,M,1,0015*4A,Light Fixture,Very big lamppost,,81,,,21,,
60,13/11/2020,104021.75,55.40803693,N,10.37810645,E,4,10,4.027,M,39.447,M,1.8,0015*48,Light Fixture,,,82,"18,20,27",,,,
62,13/11/2020,104141.55,55.40814045,N,10.37846708,E,4,10,3.714,M,39.447,M,1.5,0015*43,Light Fixture,,,83,"16,17,28,47,48",,23,,
67,13/11/2020,104404.8,55.40839612,N,10.37822432,E,4,13,3.898,M,39.447,M,1.8,0015*46,Light Fixture,,,84,"1,19,41,42",,29,,
80,13/11/2020,105304.25,55.4079768,N,10.37862635,E,4,10,3.803,M,39.447,M,1.3,0015*4B,Light Fixture,,,85,"12,26,51",,,,
81,13/11/2020,105405.65,55.40769783,N,10.37861383,E,4,8,4.168,M,39.447,M,1.6,0015*44,Light Fixture,,,86,"0,52,53",,,,
97,13/11/2020,110425,55.40801668,N,10.37963422,E,4,5,3.886,M,39.447,M,5,0015*71,Light Fixture,,,87,"6,54",,,,
110,13/11/2020,111520.95,55.4081669,N,10.38010688,E,4,8,3.862,M,39.447,M,2,0015*4D,Light Fixture,,,88,"9,25,55",,31,,
111,13/11/2020,111619.55,55.40804448,N,10.38002437,E,4,10,3.963,M,39.447,M,1.5,0015*4C,Light Fixture,,,89,57,,,,
112,13/11/2020,111642.9,55.4079603,N,10.3800098,E,5,7,-2.337,M,39.447,M,0.9,0015*53,Light Fixture,,,90,56,,,,
113,13/11/2020,111735.85,55.4081197,N,10.37991945,E,4,9,4.119,M,39.447,M,0.9,0015*49,Light Fixture,,,91,,,,,
120,13/11/2020,112153.6,55.40854093,N,10.37974382,E,4,11,3.793,M,39.447,M,1.6,0015*4A,Light Fixture,,,92,"3,10,43",,20,,
143,13/11/2020,113703.75,55.4083506,N,10.37913595,E,4,11,4.192,M,39.447,M,1.8,0015*4F,Light Fixture,,,93,"2,13,46",,,,
