oldId,ID,time,lat,latDir,lon,lonDir,fix,nSat,hError,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
21,55,113315.2,55.37650657,N,10.38514012,E,4,9,1.2,,Light Fixture,,08/11/2020,17626,,1034128136,,
24,56,113526.15,55.37672822,N,10.3851331,E,4,9,1,,Light Fixture,,08/11/2020,25018,,,,
28,57,113705.1,55.37687722,N,10.38558998,E,4,7,1.7,,Light Fixture,,08/11/2020,25017,,,,
32,58,113840.75,55.37702825,N,10.38600815,E,4,9,1.2,,Light Fixture,,08/11/2020,16410,,1034128127,,
34,59,113953.45,55.37687557,N,10.38626747,E,4,9,1,,Light Fixture,,08/11/2020,15791,,1034128126,,
38,60,114205.4,55.37725808,N,10.38639852,E,4,8,1.8,Outside,Light Fixture,,08/11/2020,,,,,
57,61,115157.95,55.37659628,N,10.38469403,E,4,10,1,Outside,Light Fixture,,08/11/2020,25013,,,,
62,62,115622.35,55.37628542,N,10.38539013,E,4,7,1.4,,Light Fixture,,08/11/2020,,,1034128137,,
64,63,115756.25,55.37620065,N,10.38572495,E,4,9,1.2,,Light Fixture,,08/11/2020,25020,,1034128138,,
66,64,115922.5,55.37601053,N,10.38569107,E,4,6,2.1,,Light Fixture,,08/11/2020,25021,,1095516358,,
73,65,120731.1,55.37564402,N,10.38536268,E,4,9,1.2,,Light Fixture,,08/11/2020,25024,,1034128151,,
75,66,120847.65,55.37550725,N,10.38496693,E,4,7,1.9,,Light Fixture,,08/11/2020,17434,,1034128150,,
80,67,121252.75,55.37575842,N,10.38569228,E,4,9,1.2,,Light Fixture,,08/11/2020,25023,,1034128152,,
85,68,121415.15,55.37576263,N,10.38594853,E,4,6,2.5,,Light Fixture,,08/11/2020,25022,,,,
96,69,122615.3,55.37566123,N,10.38613558,E,4,7,2.1,,Light Fixture,,08/11/2020,17666,,,,
99,70,122747.3,55.37540865,N,10.38607235,E,4,11,0.9,,Light Fixture,,08/11/2020,25027,,,,
103,71,122922.8,55.3751515,N,10.38600537,E,4,14,0.8,Outside,Light Fixture,,08/11/2020,,,,,
92,72,N/A,55.3760267,N,10.3862267,E,N/A,N/A,N/A,"Using coordinate from GeoDanmark, we can't achieve better results.",Light Fixture,,16/11/2020,25026,,1034160225,,
12,73,112718.85,55.37620422,N,10.38630213,E,4,6,4.3,,Manhole Cover,,08/11/2020,,,1034160394,,63d03772-4bd1-405c-ba68-a231844d13d7
15,74,112932.2,55.37622943,N,10.3861227,E,4,8,1.4,,Manhole Cover,,08/11/2020,,,1034127799,,5c6938b1-9538-4e3b-8497-ddc11b9f48ca
18,75,113055.25,55.37632168,N,10.3854223,E,4,8,1.9,,Manhole Cover,,08/11/2020,,,1034127810,,2ef30cc7-0b29-4033-8e96-658c1082c9af
22,76,113354.4,55.3765234,N,10.38520617,E,4,9,1.2,,Manhole Cover,,08/11/2020,,,1034127808,,8dd6a07c-8463-4969-986e-2a2680ba3e76
23,77,113419.55,55.37657632,N,10.3852036,E,4,7,2.6,,Manhole Cover,,08/11/2020,,{E49B4868-6DFE-45DB-8C5F-2CC7CF72232D},1034127807,,
36,78,114124.4,55.3771747,N,10.38635193,E,4,7,2.4,Outside,Manhole Cover,,08/11/2020,,,,,
37,79,114152.05,55.37722472,N,10.38637277,E,4,9,1.1,Outside,Manhole Cover,,08/11/2020,,,,,
45,80,114633.1,55.37696598,N,10.38571017,E,4,12,0.9,,Manhole Cover,,08/11/2020,,,1034127801,,14bf0b65-cd6c-4989-bed9-8c0a6592c6bb
51,81,114918.15,55.37669557,N,10.38492942,E,4,8,1.4,,Manhole Cover,,08/11/2020,,,,,a81a719b-dd61-48a2-a471-449d54d7cc80
65,82,115836.55,55.37603415,N,10.38575202,E,4,6,1.4,,Manhole Cover,,08/11/2020,,{2815E3AF-FADE-49B9-A5F8-7F5ADBCF45ED},1034127811,,
71,83,120656.25,55.37568682,N,10.38531933,E,4,9,1.1,,Manhole Cover,,08/11/2020,,,1034127812,,22fb5a3c-5805-4a80-8733-c497f519c731
86,84,121449.95,55.37580988,N,10.38601838,E,4,6,7,,Manhole Cover,,08/11/2020,,,1034127800,,17cfdb59-a202-41f6-8f98-dc3220f42819
88,85,121646,55.37585753,N,10.38614038,E,4,9,1.2,,Manhole Cover,,08/11/2020,,{4F5126EF-F031-4DE2-9BE3-0B370A5FEBCB},1034160396,,
89,86,121757.25,55.37615198,N,10.38617573,E,4,10,1.4,,Manhole Cover,,08/11/2020,,,1034160395,,3047363d-3331-44a1-bc33-666dc2a19bef
98,87,122727.45,55.37544452,N,10.3859954,E,4,9,1.1,,Manhole Cover,,08/11/2020,,,1034160397,,46c14bbe-78ce-4b5b-ad59-10cf6463a209
104,88,122954.65,55.37516475,N,10.38585685,E,4,7,1.7,Outside,Manhole Cover,,08/11/2020,,,,,
0,89,110029.95,55.37615878,N,10.3874525,E,4,7,1.6,,Tree,,08/11/2020,,,,,
1,90,110318,55.37611033,N,10.38737082,E,4,7,2,,Tree,,08/11/2020,,,1034137041,,
3,91,111134.75,55.37616158,N,10.38722918,E,5,9,1.4,,Tree,,08/11/2020,,,,,
4,92,111517.5,55.37611043,N,10.38722895,E,5,11,1.1,,Tree,,08/11/2020,,,,,
5,93,111626.95,55.37612755,N,10.38714407,E,5,11,0.9,,Tree,,08/11/2020,,,1034137039,,
6,94,111732.7,55.37612788,N,10.3869952,E,5,13,0.8,,Tree,,08/11/2020,,,1034137040,,
7,95,111846.2,55.37619383,N,10.38700888,E,5,10,1.1,,Tree,,08/11/2020,,,,,
25,96,113552.85,55.37673317,N,10.38515475,E,4,11,0.8,,Tree,,08/11/2020,,,1034115491,29170,
26,97,113619.7,55.37676328,N,10.38524812,E,4,11,0.8,,Tree,,08/11/2020,,,1034115492,4402,
30,98,113754.15,55.3769541,N,10.3858164,E,4,10,0.9,,Tree,,08/11/2020,,,,33357,
31,99,113820.45,55.37700213,N,10.3859379,E,4,9,1,,Tree,,08/11/2020,,,1034115485,418,
41,100,114341.4,55.37707392,N,10.38586265,E,4,11,0.9,Outside,Tree,,08/11/2020,,,,,
43,101,114422.8,55.37697257,N,10.3855897,E,4,10,0.9,,Tree,,08/11/2020,,,1034115487,23671,
46,102,114705.1,55.37688963,N,10.38535122,E,4,9,1.1,,Tree,,08/11/2020,,,1034115488,23679,
49,103,114824.7,55.3767981,N,10.38505873,E,4,10,1.2,,Tree,,08/11/2020,,,1034115490,29205,
50,104,114855.1,55.37674443,N,10.38488805,E,4,10,1.1,Outside,Tree,,08/11/2020,,,,,
53,105,115027.25,55.3766172,N,10.38442482,E,5,6,1.4,Outside,Tree,,08/11/2020,,,,,
54,106,115055.45,55.37654462,N,10.38449268,E,4,7,1.4,Outside,Tree,,08/11/2020,,,,,
108,107,123407.9,55.37602093,N,10.3860228,E,5,6,2,,Tree,,08/11/2020,,,,24896,
109,108,123428.25,55.3760679,N,10.38602655,E,5,5,2,,Tree,,08/11/2020,,,,26335,
110,109,123446.25,55.37604917,N,10.38588293,E,5,7,2.1,,Tree,,08/11/2020,,,,23787,
123,110,125202.5,55.376096,N,10.38754427,E,5,11,1,,Tree,,08/11/2020,,,1034137042,,
126,111,133152.9,55.37594332,N,10.38584818,E,5,8,2.2,,Tree,,14/11/2020,,,,24857,
129,112,133455.35,55.37593535,N,10.38602647,E,5,9,2,,Tree,,14/11/2020,,,,13003,
142,113,134803.65,55.3760382,N,10.38483698,E,4,5,2.4,,Tree,,14/11/2020,,,,13001,
144,114,135019.95,55.37609793,N,10.38460007,E,4,5,2.8,,Tree,,14/11/2020,,,,13002,
48,115,114806.95,55.37683172,N,10.38517357,E,4,11,1.2,,Tree,Stump,08/11/2020,,,1034115489,,
56,116,115139.65,55.37658112,N,10.3846231,E,4,11,0.8,Outside,Tree,Stump,08/11/2020,,,,,
