,ID,lat,lon,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
255,269,55.36944533,10.43117084,132344.45,5522.16672,N,1025.87025,E,4,9,,23.031,M,39.415,M,1.5,0024*7D,,Light Fixture,,269,-,-,1034152898,-,-
257,271,55.36945947,10.43147175,132419.65,5522.167568,N,1025.888305,E,4,9,,23.181,M,39.415,M,1.6,0024*72,,Light Fixture,,271,-,-,1034152897,-,-
259,273,55.36947248,10.43177594,132502.7,5522.168349,N,1025.906556,E,4,10,,22.994,M,39.415,M,1.7,0024*74,,Light Fixture,,273,-,-,-,-,-
261,275,55.36948483,10.43207653,132539.2,5522.16909,N,1025.924592,E,4,9,,23.053,M,39.415,M,1.2,0024*73,,Light Fixture,,275,-,-,1034152899,-,-
263,277,55.36949808,10.43237755,132617.15,5522.169885,N,1025.942653,E,4,8,,23.028,M,39.415,M,1.1,0024*7B,,Light Fixture,,277,-,-,1034152896,-,-
264,278,55.36932157,10.4324019,132648.3,5522.159294,N,1025.944114,E,4,7,,23.105,M,39.415,M,1.3,0024*78,,Light Fixture,,278,-,-,1034152901,-,-
267,281,55.36930634,10.43209932,132802.4,5522.15838,N,1025.925959,E,4,7,,23.291,M,39.415,M,1.4,0024*72,,Light Fixture,,281,-,-,1034152900,-,-
269,283,55.36929388,10.43180189,132841.55,5522.157633,N,1025.908113,E,4,11,,23.118,M,39.415,M,1.5,0024*7B,,Light Fixture,,283,-,-,-,-,-
271,285,55.36928127,10.43149988,132926.35,5522.156876,N,1025.889993,E,4,9,,23.22,M,39.415,M,1.4,0024*7C,,Light Fixture,,285,-,-,1034152902,-,-
273,287,55.36926917,10.43119884,133021.5,5522.15615,N,1025.87193,E,4,9,,22.893,M,39.415,M,1.5,0024*75,,Light Fixture,,287,-,-,1034152903,-,-
274,288,55.36910846,10.43121639,133046.45,5522.146508,N,1025.872983,E,4,7,,23.011,M,39.415,M,1.5,0024*77,,Light Fixture,,288,-,-,1034152906,-,-
3,4,55.36782151,10.43210906,101828.9,5522.069291,N,1025.926544,E,4,8,,21.5,M,39.413,M,0.9,0008*71,,Manhole Cover,Small Manhole Cover,4,-,-,-,-,-
4,5,55.36777665,10.43202769,101908.8,5522.066599,N,1025.921661,E,5,6,,22.389,M,39.413,M,1.8,0008*7C,,Manhole Cover,Small Manhole Cover,5,-,-,-,-,-
21,23,55.36792726,10.43264575,102440.65,5522.075636,N,1025.958745,E,4,11,,21.451,M,39.413,M,1.6,0008*7B,,Manhole Cover,,23,-,-,-,-,-
22,24,55.36780118,10.43250728,102509.15,5522.068071,N,1025.950437,E,4,6,,21.697,M,39.413,M,2.2,0008*72,,Manhole Cover,,24,-,-,-,-,-
25,27,55.36791713,10.43227614,102608.55,5522.075028,N,1025.936568,E,4,9,,21.823,M,39.413,M,1.5,0008*76,,Manhole Cover,,27,-,-,-,-,-
33,36,55.36789364,10.43172414,102858.85,5522.073618,N,1025.903448,E,4,9,,21.429,M,39.413,M,0.9,0008*7D,,Manhole Cover,,36,-,-,-,-,-
52,55,55.36774894,10.43137643,103714.65,5522.064936,N,1025.882586,E,4,9,,21.564,M,39.413,M,0.6,0008*76,,Manhole Cover,Small Manhole Cover,55,-,-,-,-,-
53,56,55.36774069,10.43140041,103725.9,5522.064441,N,1025.884025,E,4,10,,21.492,M,39.413,M,0.9,0008*79,,Manhole Cover,Small Manhole Cover,56,-,-,1103665959,-,-
62,65,55.36787749,10.43131507,104227.65,5522.072649,N,1025.878904,E,4,10,,21.906,M,39.413,M,1.6,0008*7A,,Manhole Cover,,65,-,-,1034152856,-,-
63,66,55.36783745,10.43114581,104254.75,5522.070247,N,1025.868749,E,4,10,,21.663,M,39.413,M,1.8,0008*7F,,Manhole Cover,Stone,66,-,-,-,-,-
103,107,55.36821675,10.43108469,105821.95,5522.093005,N,1025.865081,E,4,9,,21.439,M,39.413,M,0.9,0008*7E,,Manhole Cover,Stone,107,-,-,1103666027,-,-
107,112,55.3681457,10.43033012,110059.8,5522.088742,N,1025.819807,E,5,5,,23.125,M,39.413,M,1.8,0008*44,,Manhole Cover,Small Manhole Cover,112,-,-,-,-,-
108,113,55.36815881,10.43030889,110117.7,5522.089529,N,1025.818533,E,5,9,,19.552,M,39.413,M,0.7,0008*71,,Manhole Cover,Small Manhole Cover,113,-,-,-,-,-
117,122,55.36844262,10.43025855,110544.8,5522.106557,N,1025.815513,E,4,6,,21.678,M,39.413,M,2.8,0008*71,,Manhole Cover,Small Square Manhole Cover,122,-,-,-,-,-
119,124,55.3684527,10.42997328,110709,5522.107162,N,1025.798397,E,5,5,,34.972,M,39.413,M,2,0008*73,,Manhole Cover,Small Square Manhole Cover,124,-,-,-,-,-
121,126,55.36855739,10.43011436,110817.45,5522.113443,N,1025.806862,E,5,11,,42.223,M,39.413,M,1.5,0008*79,,Manhole Cover,,126,-,-,1034152864,-,-
144,150,55.36858526,10.4307466,112512.95,5522.115116,N,1025.844796,E,4,6,,21.64,M,39.413,M,2,0008*73,,Manhole Cover,,150,-,-,1034152862,-,-
147,153,55.36802399,10.43131265,123456.95,5522.081439,N,1025.878759,E,4,10,,21.423,M,39.415,M,2,0024*76,,Manhole Cover,,153,-,-,-,-,-
152,158,55.36807183,10.43226722,123752.25,5522.08431,N,1025.936033,E,4,9,,21.574,M,39.415,M,1.3,0024*72,,Manhole Cover,,158,-,-,-,-,-
155,161,55.36808286,10.43263646,123859.1,5522.084972,N,1025.958188,E,4,9,,21.457,M,39.415,M,2.1,0024*76,,Manhole Cover,,161,-,-,-,-,-
194,204,55.36840555,10.4325877,125430.55,5522.104333,N,1025.955262,E,4,8,,21.552,M,39.415,M,1.5,0024*76,,Manhole Cover,,204,-,-,-,-,-
195,205,55.36838793,10.43216993,125531.5,5522.103276,N,1025.930196,E,4,9,,21.474,M,39.415,M,1.5,0024*71,,Manhole Cover,,205,-,-,-,-,-
196,206,55.36836815,10.43172997,125604.45,5522.102089,N,1025.903798,E,4,9,,21.593,M,39.415,M,1.5,0024*7C,,Manhole Cover,,206,-,-,1034152859,-,-
197,207,55.3683459,10.43125809,125644.9,5522.100754,N,1025.875485,E,4,10,,21.396,M,39.415,M,0.9,0024*73,,Manhole Cover,,207,-,-,-,-,-
222,234,55.3686378,10.43194819,130422.8,5522.118268,N,1025.916891,E,4,12,,21.509,M,39.415,M,0.8,0024*70,,Manhole Cover,,234,-,-,1034153067,-,-
223,235,55.36862803,10.43169907,130455.95,5522.117682,N,1025.901944,E,4,9,,21.454,M,39.415,M,0.9,0024*7F,,Manhole Cover,,235,-,-,1034153298,-,-
229,241,55.36860789,10.43122242,130801.75,5522.116473,N,1025.873345,E,4,10,,21.497,M,39.415,M,1.8,0024*7B,,Manhole Cover,,241,-,-,1034152861,-,-
232,244,55.36868108,10.4311335,130855.1,5522.120865,N,1025.86801,E,4,7,,21.6,M,39.415,M,1.1,0024*7E,,Manhole Cover,,244,-,-,-,-,-
238,251,55.36901249,10.432513,131222.95,5522.140749,N,1025.95078,E,4,8,,21.42,M,39.415,M,2,0024*7A,,Manhole Cover,,251,-,-,1034152827,-,-
240,253,55.36866372,10.43253141,131335.75,5522.119823,N,1025.951885,E,4,10,,21.52,M,39.415,M,1.8,0024*71,,Manhole Cover,,253,-,-,1034152828,-,-
249,262,55.36895764,10.4311896,132047.15,5522.137458,N,1025.871376,E,4,7,,21.443,M,39.415,M,1.1,0024*78,,Manhole Cover,,262,-,-,1034153061,-,-
250,263,55.36900332,10.43124779,132112.45,5522.140199,N,1025.874867,E,4,9,,21.936,M,39.415,M,1.5,0024*7F,,Manhole Cover,Stone,263,-,-,-,-,-
254,268,55.36928427,10.43114708,132305.5,5522.157056,N,1025.868825,E,4,6,,21.434,M,39.415,M,1.5,0024*76,,Manhole Cover,,268,-,-,1034153057,-,-
265,279,55.36934094,10.43246369,132702.35,5522.160456,N,1025.947821,E,4,7,,21.458,M,39.415,M,1.4,0024*7D,,Manhole Cover,,279,-,-,1034152826,-,-
321,9,55.36783327,10.43196472,104313.75,5522.069996,N,1025.917883,E,4,11,1.2,23.928,M,39.415,M,0.8,0000*74,,new_Bench,,9,-,-,-,-,-
318,11,55.36788833,10.43195709,104210.65,5522.0733,N,1025.917426,E,4,10,1.2,23.957,M,39.415,M,1.6,0000*75,,new_Bench,,11,-,-,-,-,-
316,13,55.36794155,10.43194998,104119.75,5522.076493,N,1025.916999,E,4,13,0.9,23.913,M,39.415,M,0.8,0000*7A,,new_Bench,,13,-,-,-,-,-
326,33,55.36793256,10.4317537,104510.75,5522.075954,N,1025.905222,E,4,13,0.9,23.924,M,39.415,M,1.8,0000*77,,new_Bench,,33,-,-,-,-,-
325,34,55.3678797,10.43177308,104451.45,5522.072782,N,1025.906385,E,4,11,1.2,23.935,M,39.415,M,1.5,0000*7E,,new_Bench,,34,-,-,-,-,-
324,38,55.36782682,10.43179254,104428.6,5522.069609,N,1025.907553,E,4,10,1.3,23.924,M,39.415,M,1.6,0000*77,,new_Bench,,38,-,-,-,-,-
355,62,55.36775655,10.43110492,111218.25,5522.065393,N,1025.866295,E,4,13,1,23.915,M,39.413,M,1.3,0007*72,,new_Bench,,62,-,-,-,-,-
393,102,55.36835603,10.43058389,113240.4,5522.101362,N,1025.835033,E,4,15,0.8,24.659,M,39.413,M,1.4,0007*76,,new_Bench,,102,-,-,-,-,-
397,116,55.36841966,10.43046588,113554.65,5522.105179,N,1025.827953,E,4,13,0.9,24.392,M,39.413,M,1.6,0007*70,,new_Bench,,116,-,-,-,-,-
586,308,55.36843385,10.43028474,131757.75,5522.106031,N,1025.817084,E,4,7,2.9,24.043,M,39.413,M,1.8,0013*78,,new_Building Corner,,308,-,-,-,-,-
418,135,55.36875869,10.43045966,114751.45,5522.125521,N,1025.827579,E,4,6,28.5,24.068,M,39.413,M,1.5,0013*4F,,new_Chimney,,135,-,-,1095519963,-,-
419,136,55.36874539,10.43046075,114800.35,5522.124724,N,1025.827645,E,4,6,29.3,24.147,M,39.413,M,10.4,0013*78,,new_Chimney,,136,-,-,1095519974,-,-
294,22,55.36782665,10.43270142,103106.25,5522.069599,N,1025.962085,E,4,12,0.9,23.349,M,39.415,M,1.3,0000*7D,,new_Downspout Grille,,22,-,-,-,-,-
301,25,55.36790505,10.43235973,103522.7,5522.074303,N,1025.941584,E,4,11,1,23.366,M,39.415,M,0.7,0000*7F,,new_Downspout Grille,,25,-,-,1103669907,-,-
306,28,55.36789838,10.43219696,103757.55,5522.073903,N,1025.931818,E,4,12,1,23.419,M,39.415,M,1.5,0000*79,,new_Downspout Grille,,28,-,-,1034152777,-,-
310,30,55.36789456,10.43210137,103911.85,5522.073674,N,1025.926082,E,4,12,1,23.413,M,39.415,M,0.9,0000*77,,new_Downspout Grille,,30,-,-,1103669436,-,-
319,31,55.36789051,10.43200824,104235.35,5522.073431,N,1025.920494,E,4,11,1.2,23.404,M,39.415,M,1.4,0000*7E,,new_Downspout Grille,,31,-,-,1103669774,-,-
330,37,55.36787824,10.43170041,104636.05,5522.072694,N,1025.902025,E,4,11,1.2,23.42,M,39.415,M,1,0000*7B,,new_Downspout Grille,,37,-,-,1034152774,-,-
342,47,55.36786525,10.43141704,105312.55,5522.071915,N,1025.885023,E,4,12,0.9,23.435,M,39.415,M,1.5,0000*7F,,new_Downspout Grille,,47,-,-,1103669749,-,-
335,52,55.36787346,10.43160703,105023.9,5522.072408,N,1025.896422,E,4,11,1.2,23.386,M,39.415,M,1.9,0000*79,,new_Downspout Grille,,52,-,-,1103670043,-,-
336,53,55.36786762,10.43151182,105055.65,5522.072057,N,1025.890709,E,4,10,1.2,23.397,M,39.415,M,1.6,0000*77,,new_Downspout Grille,,53,-,-,1034152772,-,-
337,53,55.36786927,10.43151188,105107.1,5522.072156,N,1025.890713,E,4,11,1.2,23.424,M,39.415,M,1.1,0000*73,,new_Downspout Grille,,53,-,-,-,-,-
350,54,55.36776381,10.43129671,110952.45,5522.065829,N,1025.877803,E,4,15,0.8,23.531,M,39.413,M,1.5,0007*72,,new_Downspout Grille,,54,-,-,1103665914,-,-
411,128,55.36852302,10.43023867,114303.3,5522.111381,N,1025.81432,E,4,9,1.9,23.556,M,39.413,M,3.3,0007*7B,,new_Downspout Grille,,128,-,-,-,-,-
412,129,55.36852983,10.43036892,114448.8,5522.11179,N,1025.822135,E,4,12,0.9,23.477,M,39.413,M,1.8,0013*75,,new_Downspout Grille,,129,-,-,-,-,-
413,131,55.36860634,10.43036197,114511.15,5522.11638,N,1025.821718,E,4,10,1.6,23.442,M,39.413,M,1.1,0013*7D,,new_Downspout Grille,,131,-,-,-,-,-
421,139,55.36905408,10.4304478,114908.15,5522.143245,N,1025.826868,E,4,9,1.4,24.602,M,39.413,M,1.1,0013*74,,new_Downspout Grille,,139,-,-,1034152871,-,-
433,147,55.36863519,10.43101735,115533.9,5522.118111,N,1025.861041,E,4,15,0.8,23.413,M,39.413,M,0.9,0013*78,,new_Downspout Grille,,147,-,-,1034152870,-,-
434,149,55.36862389,10.4307627,115605.3,5522.117433,N,1025.845762,E,4,12,1.2,23.414,M,39.413,M,1.3,0013*79,,new_Downspout Grille,,149,-,-,-,-,-
385,151,55.36856376,10.43116799,112821.55,5522.113825,N,1025.870079,E,4,14,0.8,23.391,M,39.413,M,1.5,0007*7D,,new_Downspout Grille,,151,-,-,-,-,-
506,152,55.367978,10.43128343,122843.05,5522.07868,N,1025.877006,E,4,11,1.2,22.347,M,39.413,M,1,0013*78,,new_Downspout Grille,,152,-,-,-,-,-
507,154,55.36798781,10.43149958,122912.35,5522.079269,N,1025.889975,E,4,10,1.3,22.354,M,39.413,M,1.4,0013*78,,new_Downspout Grille,,154,-,-,1034152748,-,-
508,155,55.36799666,10.43170504,122935.1,5522.0798,N,1025.902303,E,4,8,1.4,22.347,M,39.413,M,1.1,0013*7C,,new_Downspout Grille,,155,-,-,1103669990,-,-
510,156,55.36800949,10.43199928,123013.4,5522.080569,N,1025.919957,E,4,10,1,22.418,M,39.413,M,1.4,0013*7A,,new_Downspout Grille,,156,-,-,1034152773,-,-
511,157,55.3680194,10.43223483,123035.7,5522.081164,N,1025.93409,E,4,9,1.6,22.299,M,39.413,M,1.7,0013*7F,,new_Downspout Grille,,157,-,-,1034152775,-,-
513,159,55.36803084,10.43249345,123111.3,5522.08185,N,1025.949607,E,4,10,1.3,22.398,M,39.413,M,1.3,0013*70,,new_Downspout Grille,,159,-,-,1034152776,-,-
514,159,55.36803089,10.43249343,123111.55,5522.081854,N,1025.949606,E,4,10,1.3,22.403,M,39.413,M,1.5,0013*79,,new_Downspout Grille,,159,-,-,1034152778,-,-
515,159,55.3680309,10.43249352,123111.75,5522.081854,N,1025.949611,E,4,10,1.3,22.399,M,39.413,M,1.8,0013*7F,,new_Downspout Grille,,159,-,-,1034152780,-,-
295,160,55.36801998,10.43268502,103239,5522.081199,N,1025.961101,E,4,10,1.2,23.361,M,39.415,M,1,0000*75,,new_Downspout Grille,,160,-,-,-,-,-
483,163,55.36814715,10.43248355,121909.45,5522.088829,N,1025.949013,E,4,9,1.5,22.4,M,39.413,M,1.5,0013*73,,new_Downspout Grille,,163,-,-,1034152765,-,-
482,164,55.36816735,10.43248121,121857.85,5522.090041,N,1025.948873,E,4,9,1.5,22.461,M,39.413,M,0.9,0013*74,,new_Downspout Grille,,164,-,-,1034152764,-,-
486,166,55.36813578,10.43221896,122010.8,5522.088147,N,1025.933138,E,4,8,1.6,22.445,M,39.413,M,0.8,0013*79,,new_Downspout Grille,,166,-,-,1034152767,-,-
485,167,55.36815634,10.43221847,121952.7,5522.08938,N,1025.933108,E,4,11,1.3,22.387,M,39.413,M,0.7,0013*7B,,new_Downspout Grille,,167,-,-,1034152766,-,-
487,169,55.36812519,10.43197384,122041.3,5522.087512,N,1025.91843,E,4,11,1.3,22.416,M,39.413,M,1.3,0013*75,,new_Downspout Grille,,169,-,-,1034152768,-,-
488,171,55.36814441,10.43197094,122142.75,5522.088665,N,1025.918257,E,4,12,1.1,23.304,M,39.413,M,0.8,0013*74,,new_Downspout Grille,,171,-,-,-,-,-
491,173,55.36813354,10.4317008,122238.9,5522.088013,N,1025.902048,E,4,13,0.9,23.458,M,39.413,M,1.9,0013*76,,new_Downspout Grille,,173,-,-,-,-,-
492,176,55.36811517,10.4317066,122257.25,5522.08691,N,1025.902396,E,4,12,0.9,23.502,M,39.413,M,1.3,0013*74,,new_Downspout Grille,,176,-,-,1034152769,-,-
497,181,55.36810108,10.4314248,122437.7,5522.086065,N,1025.885488,E,4,8,1.5,22.458,M,39.413,M,1.7,0013*79,,new_Downspout Grille,,181,-,-,1034152770,-,-
496,182,55.36812177,10.43142389,122413.35,5522.087306,N,1025.885433,E,4,9,1.4,22.439,M,39.413,M,1.4,0013*74,,new_Downspout Grille,,182,-,-,1034152771,-,-
499,184,55.36815284,10.43125935,122551.65,5522.08917,N,1025.875561,E,4,12,0.9,22.365,M,39.413,M,0.6,0013*7D,,new_Downspout Grille,,184,-,-,1103669971,-,-
464,187,55.36828071,10.43141532,121146.35,5522.096842,N,1025.884919,E,4,5,2.4,22.789,M,39.413,M,1.4,0013*7D,,new_Downspout Grille,,187,-,-,1034152752,-,-
465,188,55.36826207,10.43140593,121213.4,5522.095724,N,1025.884356,E,4,12,0.8,22.411,M,39.413,M,1.4,0013*7A,,new_Downspout Grille,,188,-,-,1034152753,-,-
467,190,55.36829403,10.43166761,121302.4,5522.097642,N,1025.900057,E,4,10,1.3,22.362,M,39.413,M,1.4,0013*71,,new_Downspout Grille,,190,-,-,1034152754,-,-
468,191,55.36827342,10.43166926,121318,5522.096405,N,1025.900156,E,4,8,1.5,22.437,M,39.413,M,2,0013*79,,new_Downspout Grille,,191,-,-,1034152755,-,-
469,192,55.36830523,10.4319303,121355,5522.098314,N,1025.915818,E,4,11,1.2,22.384,M,39.413,M,2,0013*7C,,new_Downspout Grille,,192,-,-,-,-,-
471,193,55.36828591,10.43191985,121448.4,5522.097154,N,1025.915191,E,4,13,0.8,23.282,M,39.413,M,1.4,0013*75,,new_Downspout Grille,,193,-,-,-,-,-
475,198,55.36831695,10.43219427,121604.35,5522.099017,N,1025.931656,E,4,12,0.9,22.358,M,39.413,M,1.4,0013*77,,new_Downspout Grille,,198,-,-,1034152758,-,-
476,199,55.36829648,10.432195,121620.35,5522.097789,N,1025.9317,E,4,11,1.1,22.377,M,39.413,M,1.4,0013*73,,new_Downspout Grille,,199,-,-,1034152759,-,-
478,201,55.36832808,10.43245898,121719.5,5522.099685,N,1025.947539,E,4,10,1.3,22.44,M,39.413,M,1.5,0013*73,,new_Downspout Grille,,201,-,-,1034152761,-,-
479,202,55.36830764,10.43246137,121743,5522.098458,N,1025.947682,E,4,10,1.4,22.377,M,39.413,M,2,0013*7B,,new_Downspout Grille,,202,-,-,1034152760,-,-
462,208,55.36834563,10.43123435,121102.3,5522.100738,N,1025.874061,E,4,12,1,22.383,M,39.413,M,1.3,0013*75,,new_Downspout Grille,,208,-,-,1103669600,-,-
439,210,55.36844389,10.43138008,115832.15,5522.106633,N,1025.882805,E,4,15,0.8,23.419,M,39.413,M,1.1,0013*77,,new_Downspout Grille,,210,-,-,1034152750,-,-
440,211,55.36842386,10.43138414,115845.95,5522.105432,N,1025.883048,E,4,15,0.8,23.464,M,39.413,M,0.9,0013*71,,new_Downspout Grille,,211,-,-,1103669801,-,-
442,214,55.36845619,10.43163506,120044.15,5522.107371,N,1025.898103,E,4,14,0.8,23.262,M,39.413,M,1.1,0013*72,,new_Downspout Grille,,214,-,-,-,-,-
444,216,55.36843819,10.43170652,120213.9,5522.106292,N,1025.902391,E,4,14,0.8,23.255,M,39.413,M,1.9,0013*77,,new_Downspout Grille,,216,-,-,1034152757,-,-
447,219,55.36846738,10.43192509,120440.6,5522.108043,N,1025.915505,E,4,14,0.8,23.376,M,39.413,M,1.6,0013*74,,new_Downspout Grille,,219,-,-,-,-,-
448,220,55.36844778,10.43192984,120506.25,5522.106867,N,1025.91579,E,4,14,0.8,23.363,M,39.413,M,1.3,0013*71,,new_Downspout Grille,,220,-,-,1034152756,-,-
450,221,55.36847811,10.43215787,120619.15,5522.108687,N,1025.929472,E,4,14,0.8,23.276,M,39.413,M,1.1,0013*71,,new_Downspout Grille,,221,-,-,-,-,-
449,222,55.36845741,10.4321571,120546.7,5522.107445,N,1025.929426,E,4,14,0.8,23.385,M,39.413,M,1.7,0013*7F,,new_Downspout Grille,,222,-,-,-,-,-
455,228,55.36849004,10.43243715,120755.4,5522.109402,N,1025.946229,E,4,13,0.8,22.459,M,39.413,M,1.4,0013*73,,new_Downspout Grille,,228,-,-,1034152763,-,-
456,229,55.36846981,10.43244097,120812.05,5522.108189,N,1025.946458,E,4,11,1.2,22.35,M,39.413,M,2,0013*7F,,new_Downspout Grille,,229,-,-,1034152762,-,-
437,240,55.36853644,10.43120742,115729.2,5522.112186,N,1025.872445,E,4,15,0.8,23.367,M,39.413,M,1.2,0013*7E,,new_Downspout Grille,,240,-,-,1034152749,-,-
537,242,55.36864095,10.43115777,124857.8,5522.118457,N,1025.869466,E,4,10,1.3,22.42,M,39.413,M,1.8,0013*7A,,new_Downspout Grille,,242,-,-,1034152747,-,-
536,243,55.36867142,10.43117701,124838.85,5522.120285,N,1025.870621,E,4,9,1.2,22.344,M,39.413,M,1.9,0013*72,,new_Downspout Grille,,243,-,-,-,-,-
534,245,55.36877624,10.43116308,124802.05,5522.126575,N,1025.869785,E,4,8,1.9,22.277,M,39.413,M,1,0013*77,,new_Downspout Grille,,245,-,-,-,-,-
574,252,55.36891956,10.4325705,130601.05,5522.135174,N,1025.95423,E,4,9,1.7,22.3,M,39.413,M,1,0013*72,,new_Downspout Grille,,252,-,-,-,-,-
533,259,55.36890928,10.43114439,124733.45,5522.134557,N,1025.868664,E,4,8,1.5,22.322,M,39.413,M,1.5,0013*73,,new_Downspout Grille,,259,-,-,-,-,-
531,264,55.36903134,10.43112953,124654.7,5522.14188,N,1025.867772,E,4,8,2.5,22.327,M,39.413,M,0.7,0013*7F,,new_Downspout Grille,,264,-,-,-,-,-
530,266,55.36916675,10.43111181,124556.95,5522.150005,N,1025.866709,E,4,8,2,22.264,M,39.413,M,2,0013*7B,,new_Downspout Grille,,266,-,-,-,-,-
528,267,55.36930025,10.43109385,124515.1,5522.158015,N,1025.865631,E,4,6,2.7,22.16,M,39.413,M,1.1,0013*7D,,new_Downspout Grille,,267,-,-,-,-,-
527,270,55.36945199,10.43131939,124427.1,5522.167119,N,1025.879163,E,4,8,1.9,22.389,M,39.413,M,1.1,0013*70,,new_Downspout Grille,,270,-,-,1210521228,-,-
525,272,55.36946594,10.43162458,124337.25,5522.167956,N,1025.897475,E,4,13,0.8,23.295,M,39.413,M,1.3,0013*72,,new_Downspout Grille,,272,-,-,-,-,-
545,280,55.36931283,10.43225828,125234.55,5522.15877,N,1025.935497,E,4,8,1.4,22.726,M,39.413,M,1.5,0013*71,,new_Downspout Grille,,280,-,-,1202730952,-,-
543,282,55.3692989,10.4319504,125157.05,5522.157934,N,1025.917024,E,4,8,2.3,22.752,M,39.413,M,2,0013*7A,,new_Downspout Grille,,282,-,-,1202730953,-,-
541,284,55.36928665,10.43164639,125114,5522.157199,N,1025.898783,E,4,10,1.2,22.698,M,39.413,M,1,0013*72,,new_Downspout Grille,,284,-,-,1202730954,-,-
539,286,55.36927467,10.43134127,125034.1,5522.15648,N,1025.880476,E,4,10,1.9,22.766,M,39.413,M,1.1,0013*79,,new_Downspout Grille,,286,-,-,1210521229,-,-
436,452,55.36854725,10.43077186,115643.65,5522.112835,N,1025.846312,E,4,13,0.8,23.39,M,39.413,M,1.6,0013*7D,,new_Downspout Grille,,452,-,-,-,-,-
517,533,55.3682157,10.43265854,123200.6,5522.092942,N,1025.959512,E,4,10,1.1,22.37,M,39.413,M,0.6,0013*78,,new_Downspout Grille,,533,-,-,-,-,-
563,580,55.36913563,10.43125038,130035.4,5522.148138,N,1025.875023,E,4,8,2.2,23.645,M,39.413,M,1.4,0013*75,,new_Fuse Box,,580,-,-,-,-,-
566,583,55.3689508,10.4312389,130149.7,5522.137048,N,1025.874334,E,4,8,2,23.256,M,39.413,M,0.7,0013*7D,,new_Fuse Box,,583,-,-,-,-,-
293,0,55.36781485,10.432672,103047.45,5522.068891,N,1025.96032,E,4,12,0.9,23.347,M,39.415,M,2.5,0000*77,Second validation from here,new_Light Fixture,,0,-,-,1103669411,-,-
304,1,55.36780306,10.43232766,103654.15,5522.068184,N,1025.93966,E,4,12,1.3,23.679,M,39.415,M,1.1,0000*7F,,new_Light Fixture,,1,-,-,-,-,-
320,10,55.36784427,10.43197668,104253.7,5522.070656,N,1025.918601,E,4,11,1.2,23.5,M,39.415,M,1.7,0000*74,,new_Light Fixture,,10,-,-,1103669248,-,-
315,15,55.36795292,10.43196482,104101.5,5522.077175,N,1025.917889,E,4,12,0.9,23.519,M,39.415,M,1.5,0000*7A,,new_Light Fixture,,15,-,-,1103668986,-,-
298,26,55.36795583,10.43237532,103407.9,5522.07735,N,1025.942519,E,4,12,0.9,23.528,M,39.415,M,1.9,0000*70,,new_Light Fixture,,26,-,-,1034152928,-,-
300,26,55.36795513,10.43237523,103500.4,5522.077308,N,1025.942514,E,4,11,1,23.496,M,39.415,M,1.4,0000*7E,,new_Light Fixture,,26,-,-,1034152928,-,-
339,44,55.36794908,10.4315732,105206.45,5522.076945,N,1025.894392,E,4,12,0.9,23.465,M,39.415,M,1.5,0000*70,,new_Light Fixture,,44,-,-,1034152930,-,-
345,48,55.36778726,10.43139071,105901.15,5522.067235,N,1025.883443,E,4,11,1.1,23.525,M,39.415,M,1.1,0000*72,,new_Light Fixture,,48,-,-,1103668991,-,-
358,67,55.36780495,10.43103007,111350.55,5522.068297,N,1025.861804,E,4,14,0.9,23.406,M,39.413,M,1.5,0007*74,,new_Light Fixture,,67,-,-,1103669300,-,-
367,75,55.3679114,10.43076725,111830.15,5522.074684,N,1025.846035,E,4,15,0.8,24.08,M,39.413,M,1.1,0007*73,,new_Light Fixture,,75,-,-,-,-,-
366,76,55.36791555,10.43078513,111808.45,5522.074933,N,1025.847108,E,4,16,0.7,24.183,M,39.413,M,1.5,0007*74,,new_Light Fixture,,76,-,-,-,-,-
368,77,55.36792629,10.43096839,111921.9,5522.075577,N,1025.858103,E,4,14,0.8,24.064,M,39.413,M,1.9,0007*75,,new_Light Fixture,,77,-,-,-,-,-
371,81,55.36809946,10.43075441,112048.7,5522.085968,N,1025.845264,E,4,14,0.8,24.207,M,39.413,M,1.7,0007*78,,new_Light Fixture,,81,-,-,-,-,-
370,82,55.36810694,10.43094599,112017.2,5522.086416,N,1025.856759,E,4,16,0.7,24.065,M,39.413,M,1.2,0007*71,,new_Light Fixture,,82,-,-,-,-,-
374,85,55.36808966,10.43054927,112159.6,5522.085379,N,1025.832956,E,4,11,1,24.127,M,39.413,M,1.6,0007*7C,,new_Light Fixture,,85,-,-,1034153008,-,-
392,101,55.36846103,10.43062345,113155.35,5522.107662,N,1025.837407,E,4,14,0.8,23.68,M,39.413,M,1.4,0007*71,,new_Light Fixture,,101,-,-,1034152988,-,-
377,108,55.3681975,10.43097386,112346.05,5522.09185,N,1025.858431,E,4,13,0.8,23.669,M,39.413,M,2,0007*7B,,new_Light Fixture,,108,-,-,1103669242,-,-
376,109,55.36818098,10.43061164,112312.65,5522.090859,N,1025.836699,E,4,12,1.2,24.043,M,39.413,M,1.6,0007*76,,new_Light Fixture,,109,-,-,-,-,-
