,ID,lat,lon,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
148,154,55.36798763,10.43149943,123526.8,5522.079258,N,1025.889966,E,4,11,,21.338,M,39.415,M,0.8,0024*76,,Downspout Grille,,154,-,-,1034152773,-,-
149,155,55.36799661,10.43170482,123601.85,5522.079797,N,1025.902289,E,4,12,,21.338,M,39.415,M,1.9,0024*7B,,Downspout Grille,,155,-,-,1034152775,-,-
150,156,55.36800909,10.43200057,123710.65,5522.080545,N,1025.920034,E,4,6,,21.339,M,39.415,M,1.6,0024*71,,Downspout Grille,,156,-,-,1034152776,-,-
151,157,55.36802004,10.43223403,123733.55,5522.081202,N,1025.934042,E,4,7,,21.363,M,39.415,M,1.5,0024*77,,Downspout Grille,,157,-,-,1034152778,-,-
153,159,55.36803133,10.43249355,123822.15,5522.08188,N,1025.949613,E,4,10,,21.444,M,39.415,M,1.1,0024*7A,,Downspout Grille,,159,-,-,1034152780,-,-
154,160,55.36802045,10.43268467,123844.2,5522.081227,N,1025.96108,E,4,9,,21.801,M,39.415,M,1.2,0024*76,,Downspout Grille,Round Downspout Grille,160,-,-,-,-,-
157,163,55.36814678,10.43248405,123930.25,5522.088807,N,1025.949043,E,4,12,,22.18,M,39.415,M,1.3,0024*79,,Downspout Grille,,163,-,-,1034152765,-,-
158,164,55.36816712,10.43248122,123940.5,5522.090027,N,1025.948873,E,4,11,,22.375,M,39.415,M,1.5,0024*71,,Downspout Grille,,164,-,-,1034152764,-,-
160,166,55.36813653,10.43221797,124029.6,5522.088192,N,1025.933078,E,4,5,,21.597,M,39.415,M,1.6,0024*4F,,Downspout Grille,,166,-,-,1034152767,-,-
161,167,55.36815571,10.43221754,124121.75,5522.089343,N,1025.933052,E,4,10,,21.39,M,39.415,M,1.8,0024*72,,Downspout Grille,,167,-,-,1034152766,-,-
162,169,55.36812515,10.43197281,124205,5522.087509,N,1025.918369,E,4,11,,22.275,M,39.415,M,1,0024*79,,Downspout Grille,,169,-,-,1034152768,-,-
163,171,55.36814542,10.43197317,124235.8,5522.088725,N,1025.91839,E,4,11,,22.283,M,39.415,M,0.8,0024*7C,,Downspout Grille,,171,-,-,-,-,-
165,173,55.36813339,10.43170108,124330.05,5522.088003,N,1025.902065,E,4,8,,22.134,M,39.415,M,3,0024*75,,Downspout Grille,,173,-,-,-,-,-
168,176,55.36811369,10.4317105,124411.75,5522.086821,N,1025.90263,E,4,12,,21.461,M,39.415,M,1.8,0024*70,,Downspout Grille,,176,-,-,1034152769,-,-
171,181,55.36810086,10.43142522,124544.65,5522.086052,N,1025.885513,E,4,9,,22.31,M,39.415,M,1.6,0024*7F,,Downspout Grille,,181,-,-,1034152770,-,-
172,182,55.3681213,10.43142365,124552.95,5522.087278,N,1025.885419,E,4,7,,22.579,M,39.415,M,0.9,0024*71,,Downspout Grille,,182,-,-,1034152771,-,-
174,184,55.36815315,10.43125935,124638,5522.089189,N,1025.875561,E,4,10,,21.429,M,39.415,M,1,0024*75,,Downspout Grille,,184,-,-,1103669971,-,-
177,187,55.3682825,10.43140295,124936.75,5522.09695,N,1025.884177,E,4,11,,22.384,M,39.415,M,1.8,0024*79,,Downspout Grille,,187,-,-,1034152752,-,-
178,188,55.36826202,10.43140664,124946.35,5522.095721,N,1025.884398,E,4,10,,22.252,M,39.415,M,1.4,0024*76,,Downspout Grille,,188,-,-,1034152753,-,-
180,190,55.36829374,10.43166726,125033.45,5522.097624,N,1025.900036,E,4,10,,22.294,M,39.415,M,1.5,0024*76,,Downspout Grille,,190,-,-,1034152754,-,-
