,oldId,ID,time,x,y,fix,nSat,hError,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
19,55,19,115112.8,587733.9443,6137569.766,4,12,0.9,Outside,Downspout Grille,,08/11/2020,,,,,
20,58,20,115241.7,587755.9457,6137580.893,4,9,1.1,,Downspout Grille,,08/11/2020,,,1034128071,,
21,63,21,115735.75,587805.9481,6137533.314,4,10,1,,Downspout Grille,,08/11/2020,,,1034128081,,
22,67,22,115956.9,587807.9832,6137497.536,4,7,1.7,,Downspout Grille,,08/11/2020,,,1034128084,,
23,69,23,120536.5,587814.1695,6137496.918,4,5,6.7,,Downspout Grille,,08/11/2020,,,1034128085,,
24,70,24,120640.7,587784.0065,6137475.799,4,7,1.9,,Downspout Grille,,08/11/2020,,,1034128087,,
25,72,25,120714.3,587786.5946,6137470.321,4,10,1.1,,Downspout Grille,,08/11/2020,,,1034128088,,
26,74,26,120815.6,587762.1285,6137461.923,4,10,1.1,,Downspout Grille,,08/11/2020,,,1034128089,,732e35a9-9ec5-4b6c-bfaa-46a23daf5e6c
27,76,27,120913.3,587755.4222,6137450.22,4,6,2.7,Outside,Downspout Grille,,08/11/2020,,,,,
28,77,28,120948.6,587751.7126,6137456.026,4,7,5.7,Outside,Downspout Grille,,08/11/2020,,,,,
29,83,29,121345.35,587820.1775,6137490.545,4,7,1.6,,Downspout Grille,,08/11/2020,,,1034128082,,
30,84,30,121357.2,587818.3815,6137484.729,4,9,1.2,,Downspout Grille,,08/11/2020,,,1034128083,,
31,87,31,121619.45,587830.5552,6137495.169,4,7,1.1,,Downspout Grille,,08/11/2020,,,1034127781,,
32,93,32,,587837.921,6137505.851,,,,Totalstation,Downspout Grille,,12/12/2020,,,1034160103,,
33,95,33,122555.75,587834.0687,6137474.797,4,6,3.8,,Downspout Grille,,08/11/2020,,,1034160104,,
34,97,34,122652.4,587831.844,6137457.084,4,8,3.6,,Downspout Grille,,08/11/2020,,,1034160105,,
35,100,35,122803.3,587829.4097,6137436.431,4,9,1.1,,Downspout Grille,,08/11/2020,,,,29506,
36,101,36,122840.65,587826.9995,6137418.007,4,6,3.7,,Downspout Grille,,08/11/2020,,,,,
37,105,37,123109.05,587824.3815,6137433.386,4,6,3.9,,Downspout Grille,,08/11/2020,,,1034127783,,
38,106,38,123238.8,587826.0887,6137460.441,4,9,1.1,,Downspout Grille,,08/11/2020,,,1034127782,,
39,124,39,132831.45,587765.4043,6137456.892,4,10,1.4,New from here,Downspout Grille,,14/11/2020,,,1034128090,,a113d0de-0b53-4fb1-b8eb-8b8bbd4f7d83
40,136,40,134229.05,587837.8287,6137535.987,4,8,1.7,,Downspout Grille,,14/11/2020,,,1034127779,,
41,143,41,,587846.8472,6137609.778,4,,,,Downspout Grille,,16/11/2020,,,1034128282,,
42,78,42,121107,587776.3676,6137460.57,4,8,1.5,,Fuse Box,,08/11/2020,,,,,
43,81,43,121301.25,587809.1986,6137481.474,4,7,1.3,,Fuse Box,,08/11/2020,,,,,
44,91,44,121850.35,587842.3968,6137523.392,4,4,1.5,,Fuse Box,,08/11/2020,1029,,,,
45,94,45,122512.95,587837.9998,6137486.809,5,8,1.9,,Fuse Box,,08/11/2020,,,,,
46,102,46,122916.2,587828.8705,6137414.136,4,12,0.9,,Fuse Box,,08/11/2020,,,,,
47,112,47,123614.05,587771.0203,6137562.125,4,8,1.2,,Fuse Box,,08/11/2020,,,,,
48,114,48,123700.2,587773.8459,6137579.079,4,10,1.7,,Fuse Box,,08/11/2020,,,,,
49,115,49,123842.95,587813.2211,6137609.829,4,9,1,,Fuse Box,,08/11/2020,,,,,
50,120,50,124652.15,587740.685,6137568.103,4,8,1.7,,Fuse Box,,08/11/2020,,,,,
51,121,51,124909.75,587845.4526,6137525.438,4,9,1.3,,Fuse Box,,08/11/2020,,,,,
52,122,52,125009.9,587888.0703,6137531.422,4,6,2.7,,Fuse Box,,08/11/2020,,,,,
53,8,53,112029.55,587869.376,6137522.361,5,11,1.5,,Light Fixture,,08/11/2020,,,,,
54,10,54,112501.9,587844.8749,6137526.022,4,7,2,,Light Fixture,,08/11/2020,25025,,1034160224,,
55,21,55,113315.2,587770.7261,6137563.12,4,9,1.2,,Light Fixture,,08/11/2020,17626,,1034128136,,
56,24,56,113526.15,587769.7905,6137587.775,4,9,1,,Light Fixture,,08/11/2020,25018,,,,
57,28,57,113705.1,587798.409,6137604.931,4,7,1.7,,Light Fixture,,08/11/2020,25017,,,,
58,32,58,113840.75,587824.57,6137622.264,4,9,1.2,,Light Fixture,,08/11/2020,16410,,1034128127,,
59,34,59,113953.45,587841.3391,6137605.602,4,9,1,,Light Fixture,,08/11/2020,15791,,1034128126,,
60,38,60,114205.4,587848.7948,6137648.331,4,8,1.8,Outside,Light Fixture,,08/11/2020,,,,,
61,57,61,115157.95,587742.2625,6137572.54,4,10,1,Outside,Light Fixture,,08/11/2020,25013,,,,
62,62,62,115622.35,587787.0568,6137538.827,4,7,1.4,,Light Fixture,,08/11/2020,,,1034128137,,
63,64,63,115756.25,587808.4594,6137529.816,4,9,1.2,,Light Fixture,,08/11/2020,25020,,1034128138,,
64,66,64,115922.5,587806.7338,6137508.618,4,6,2.1,,Light Fixture,,08/11/2020,25021,,1095516358,,
65,73,65,120731.1,587786.7379,6137467.421,4,9,1.2,,Light Fixture,,08/11/2020,25024,,1034128151,,
66,75,66,120847.65,587761.9648,6137451.703,4,7,1.9,,Light Fixture,,08/11/2020,17434,,1034128150,,
67,80,67,121252.75,587807.3689,6137480.566,4,9,1.2,,Light Fixture,,08/11/2020,25023,,1034128152,,
68,85,68,121415.15,587823.5963,6137481.358,4,6,2.5,,Light Fixture,,08/11/2020,25022,,,,
69,96,69,122615.3,587835.673,6137470.311,4,7,2.1,,Light Fixture,,08/11/2020,17666,,,,
