ObjectID;OriginName;CoordOriginCode;AverageErrorCoord;Remark
189;PROJEKT;2;NULL;NULL
15177;TV fra ISS Kloak-& Indust;6;NULL;NULL
17169;TV fra ISS Kloak Industri;6;NULL;NULL
41171;TV fra ISS Kloak og Indus;6;NULL;NULL
13116;TV fra Sydjysk Kloak Indu;6;NULL;NULL
20773;TV fra ISS Kloak-& Indust;6;NULL;NULL
58005;TV fra ISS Kloak og Indus;6;NULL;NULL
13139;TV fra ISS Kloak og Indus;6;NULL;NULL
26369;TV fra ISS Kloak og Indus;6;NULL;NULL
178145;vcs-lol-191009;5;40;
188965;vcs-cgm-200513-1_001;0;40;
54779;TV fra ISS Kloak og Indus;6;NULL;NULL
13070;TV fra ISS Kloak-& Indust;6;NULL;NULL
7806;TV fra ISS Kloak-& Indust;6;NULL;NULL
46389;TV fra ISS Kloak og Indus;6;NULL;NULL
13093;TV fra ISS Kloak-& Indust;6;NULL;NULL
21583;TV fra ISS Kloak & Indust;6;NULL;NULL
22788;TV fra ISS Kloak & Indust;6;NULL;NULL
192168;Geopartner (Totalstati_02;5;NULL;NULL
170943;2_001;2;NULL;Oprindelsesdata ukendt kun kode angivet
172;LE34-2013-08-12;5;20;NULL
38377;TV fra ISS Kloak og Indus;6;NULL;NULL
66;UOPLYST_2009/01/14;0;NULL;NULL
15171;TV fra ISS Kloak-& Indust;6;NULL;NULL
9017;TV fra ISS Kloak-& Indust;6;NULL;NULL
62828;TV fra ISS Kloak og Indus;6;NULL;NULL
57172;TV fra ISS Kloak og Indus;6;NULL;NULL
187760;vcs-lol-200114;5;40;
63229;TV fra ISS Kloak og Indus;6;NULL;NULL
64806;TC Anlæg;5;NULL;NULL
31593;TV fra ISS Kloak-& Indust;6;NULL;NULL
15609;TV fra ISS Kloak-& Indust;6;NULL;NULL
118105;Geopartner (Nedstik)_001;8;NULL;NULL
167740;vcs-cgm-190925;5;40;
91656;Aarsleff Langelinie JV,IS;5;20;NULL
102476;vcs-cgm_021;5;40;
56777;TV fra ISS Kloak og Indus;6;NULL;NULL
42376;TV fra ISS Kloak og Indus;6;NULL;NULL
14736;TV fra ISS Kloak-& Indust;6;NULL;NULL
15572;TV fra ISS Kloak-& Indust;6;NULL;NULL
176147;Geopartner (Nedstik)_003;8;NULL;NULL
88845;AARSLEFF LANGELINIE JV-IS;5;20;NULL
4603;D20140316LIFA Landinspek~;5;20;NULL
33571;TV fra ISS Kloak-& Indust;6;NULL;NULL
22794;TV fra ISS Kloak & Indust;6;NULL;NULL
26784;TV fra ISS Kloak og Indus;6;NULL;NULL
126;LE34-2012-12-21;5;20;NULL
63223;TV fra ISS Kloak og Indus;6;NULL;NULL
147720;vcs-cgm-190110-2;5;40;
26;HVENEGAARD (GPS);5;NULL;NULL
121308;VandCenter Syd;0;NULL;NULL
142516;Geopartner Totalstation;5;NULL;NULL
57189;TV fra ISS Kloak og Indus;6;NULL;NULL
59608;TV fra ISS Kloak og Indus;6;NULL;NULL
42794;TV fra ISS Kloak og Indus;6;NULL;NULL
15569;TV fra ISS Kloak-& Indust;6;NULL;NULL
87640;vcs-cgm-171124;5;40;
51971;TV fra ISS Kloak og Indus;6;NULL;NULL
45971;TV fra ISS Kloak og Indus;6;NULL;NULL
129;LE34-2013-01-15;5;20;NULL
62811;TV fra ISS Kloak og Indus;6;NULL;NULL
120910;vcs-cgm-180817;5;40;
139313;vcs-cgm-181011-2;5;40;
16777;TV fra ISS Kloak Industri;6;NULL;NULL
179347;vcs-cgm-191217;5;40;
106;GIS_2008/10/08;4;NULL;NULL
9807;TV fra ISS Kloak-& Indust;6;NULL;NULL
104076;vcs-cgm_023;6;40;
14762;TV fra ISS Kloak-& Indust;6;NULL;NULL
22373;TV fra ISS Kloak & Indust;6;NULL;NULL
26787;TV fra ISS Kloak og Indus;6;NULL;NULL
86;LIFA A/S 20125038;5;50;NULL
38380;TV fra ISS Kloak og Indus;6;NULL;NULL
10657;TV fra ISS Kloak-& Indust;6;NULL;NULL
13076;TV fra ISS Kloak-& Indust;6;NULL;NULL
30388;TV fra ISS Kloak og Indus;6;NULL;NULL
126512;vcs-cgm-180907_001;5;40;
63209;TV fra ISS Kloak og Indus;6;NULL;NULL
84039;TV-Norva24 Kloak & Indust;6;NULL;NULL
37172;TV fra ISS Kloak og Indus;6;NULL;NULL
63;GPS_2009/01/14;5;NULL;NULL
7809;TV fra ISS Kloak-& Indust;6;NULL;NULL
6604;TV fra ISS Kloak-& Indust;6;NULL;NULL
96459;vcs-cgm-180202;5;40;
14719;TV fra ISS Kloak-& Indust;6;NULL;NULL
19170;TV fra ISS Kloak-& Indust;6;NULL;NULL
57195;TV fra ISS Kloak og Indus;6;NULL;NULL
42788;TV fra ISS Kloak og Indus;6;NULL;NULL
6;6;6;NULL;Oprindelsesdata ukendt kun kode angivet
25974;TV fra ISS Kloak & Indust;6;NULL;NULL
33989;TV fra ISS Kloak-& Indust;6;NULL;NULL
43;082076;5;NULL;NULL
65224;TV fra ISS Kloak og Indus;6;NULL;NULL
49572;TV fra ISS Kloak og Indus;6;NULL;NULL
185361;vcs-cgm-200317;5;40;
57587;TV fra ISS Kloak og Indus;6;NULL;NULL
59210;TV fra ISS Kloak og Indus;6;NULL;NULL
148922;vcs-cgm-190118-1_001;5;40;
21981;TV fra ISS Kloak & Indust;6;NULL;NULL
149320;Geopartner (Totalstat_002;5;NULL;NULL
15589;TV fra ISS Kloak-& Indust;6;NULL;NULL
49;OKTOBER_2010;3;NULL;NULL
185759;vcs-cgm-200304;5;40;NULL
22771;TV fra ISS Kloak & Indust;6;NULL;NULL
149;LE34-2013-04-29;5;20;NULL
122513;vcs-cgm-180816;5;40;
13133;TV fra Sydjysk Kloak Indu;6;NULL;NULL
40773;TV fra ISS Kloak og Indus;6;NULL;NULL
14756;TV fra ISS Kloak-& Indust;6;NULL;NULL
22379;TV fra ISS Kloak & Indust;6;NULL;NULL
31576;TV fra ISS Kloak-& Indust;6;NULL;NULL
42379;TV fra ISS Kloak og Indus;6;NULL;NULL
15581;TV fra ISS Kloak-& Indust;6;NULL;NULL
58008;TV fra ISS Kloak og Indus;6;NULL;NULL
95263;LIFA A/S_004;5;20;
79634;GPS_001;NULL;NULL;NULL
1804;Geopartner (Nedstik)-1;8;NULL;NULL
47171;TV fra ISS Kloak og Indus;6;NULL;NULL
26773;TV fra ISS Kloak og Indus;6;NULL;NULL
15180;TV fra ISS Kloak-& Indust;6;NULL;NULL
14725;TV fra ISS Kloak-& Indust;6;NULL;NULL
30377;TV fra ISS Kloak og Indus;6;NULL;NULL
10248;TV fra ISS Kloak-& Indust;6;NULL;NULL
92;EMMERLEV - DIG;3;NULL;NULL
5007;TV fra ISS Kloak-& Indust;6;NULL;NULL
140112;TVInspektion_HTJ - MILJØT;6;NULL;NULL
14748;TV fra ISS Kloak-& Indust;6;NULL;NULL
115;LE34-2012-11-23;5;20;NULL
42780;TV fra ISS Kloak og Indus;6;NULL;NULL
99677;Per Aarsleff A/S-1;5;200;
13142;TV fra ISS Kloak og Indus;6;NULL;NULL
138;LE34-2013-02-14;5;20;NULL
62817;TV fra ISS Kloak og Indus;6;NULL;NULL
16368;TV fra ISS Kloak Industri;6;NULL;NULL
13119;TV fra Sydjysk Kloak Indu;6;NULL;NULL
16786;TV fra ISS Kloak Industri;6;NULL;NULL
161;LE34-2013-05-14;5;20;NULL
32375;TV fra ISS Kloak-& Indust;6;NULL;NULL
27752;TV fra ISS Kloak-& Indust;6;NULL;NULL
63610;TV fra ISS Kloak og Indus;6;NULL;NULL
56780;TV fra ISS Kloak og Indus;6;NULL;NULL
93657;AARSLEFF LANGELINIE JV IS;5;20;NULL
15575;TV fra ISS Kloak-& Indust;6;NULL;NULL
29982;TV fra ISS Kloak og Indus;6;NULL;NULL
29;LE34-2012-09-07;5;20;NULL
58014;TV fra ISS Kloak og Indus;6;NULL;NULL
26378;TV fra ISS Kloak og Indus;6;NULL;NULL
63232;TV fra ISS Kloak og Indus;6;NULL;NULL
57576;TV fra ISS Kloak og Indus;6;NULL;NULL
35578;TV fra ISS Kloak-& Indust;6;NULL;NULL
53972;TV fra ISS Kloak og Indus;6;NULL;NULL
57181;TV fra ISS Kloak og Indus;6;NULL;NULL
10254;TV fra ISS Kloak-& Indust;6;NULL;NULL
175;LE34-2013-08-28;5;20;NULL
21572;TV fra ISS Kloak & Indust;6;NULL;NULL
9810;TV fra ISS Kloak-& Indust;6;NULL;NULL
9816;TV fra ISS Kloak-& Indust;6;NULL;NULL
94058;vcs-cgm-170830;5;40;NULL
39571;TV fra ISS Kloak og Indus;6;NULL;NULL
13105;TV fra ISS Kloak & Indust;6;NULL;NULL
10208;TV fra ISS Kloak-& Indust;6;NULL;NULL
18369;Projekt (som udført);5;NULL;NULL
20782;TV fra ISS Kloak-& Indust;6;NULL;NULL
57175;TV fra ISS Kloak og Indus;6;NULL;NULL
144915;BR.RAP-Geopartner A/S;7;NULL;NULL
10649;TV fra ISS Kloak-& Indust;6;NULL;NULL
75;GMCB_SKØNNET;1;NULL;NULL
22797;TV fra ISS Kloak-& Indust;6;NULL;NULL
30371;TV fra ISS Kloak og Indus;6;NULL;NULL
190966;vcs-lol-200526;5;40;NULL
33972;TV fra ISS Kloak-& Indust;6;NULL;NULL
19577;TV fra ISS Kloak-& Indust;6;NULL;NULL
13079;TV fra ISS Kloak-& Indust;6;NULL;NULL
3404;130225_Aarsleff;NULL;NULL;NULL
111284;VCS-Driften;0;NULL;NULL
28376;TV fra ISS Kloak-& Indust;6;NULL;NULL
10211;TV fra ISS Kloak-& Indust;6;NULL;NULL
88041;vcs-cgm-171121;5;40;
139316;Per Aarsleff A/S (181016);5;20;NULL
22780;TV fra ISS Kloak & Indust;6;NULL;NULL
176545;Hans H. Pedersen;5;NULL;NULL
48771;TV fra ISS Kloak og Indus;6;NULL;NULL
26381;TV fra ISS Kloak og Indus;6;NULL;NULL
15;D20110301MARIUS PEDERSEN~;5;50;NULL
181;Skønnet_Værdi;1;40;NULL
142519;TV-Per Aarsleff A/S_002;0;NULL;NULL
31977;TV fra ISS Kloak-& Indust;6;NULL;NULL
42797;TV fra ISS Kloak og Indus;6;NULL;NULL
9;50;50;NULL;Oprindelsesdata ukendt kun kode angivet
25983;TV fra ISS Kloak & Indust;6;NULL;NULL
7812;TV fra ISS Kloak-& Indust;6;NULL;NULL
17968;Lifa opm. ud fra TV sonde;5;NULL;NULL
158;LE34-2013-05-30;5;20;NULL
14765;TV fra ISS Kloak-& Indust;6;NULL;NULL
21970;TV fra ISS Kloak & Indust;6;NULL;NULL
27755;TV fra ISS Kloak-& Indust;6;NULL;NULL
63235;TV fra ISS Kloak og Indus;6;NULL;NULL
73222;vcs-cgm_005;5;40;
120507;vcs-cgm-180719_002;5;40;
13122;TV fra Sydjysk Kloak Indu;6;NULL;NULL
123312;vcs-cgm-171129;5;40;
33998;TV fra ISS Kloak-& Indust;6;NULL;NULL
63212;TV fra ISS Kloak og Indus;6;NULL;NULL
19571;TV fra ISS Kloak-& Indust;6;NULL;NULL
33978;TV fra ISS Kloak-& Indust;6;NULL;NULL
42385;TV fra ISS Kloak og Indus;6;NULL;NULL
14745;TV fra ISS Kloak-& Indust;6;NULL;NULL
55973;TV fra ISS Kloak og Indus;6;NULL;NULL
22382;TV fra ISS Kloak & Indust;6;NULL;NULL
157736;vcs-cgm-190521;5;40;
151722;vcs-cgm-190117;5;40;
120109;vcs-cgm-180810;5;40;
33992;TV fra ISS Kloak-& Indust;6;NULL;NULL
15598;TV fra ISS Kloak-& Indust;6;NULL;NULL
159737;vcs-cgm-190617;5;40;
37971;Grønbech & Sønner;8;NULL;NULL
57198;TV fra ISS Kloak og Indus;6;NULL;NULL
59611;TV fra ISS Kloak og Indus;6;NULL;NULL
46378;TV fra ISS Kloak og Indus;6;NULL;NULL
7818;TV fra ISS Kloak-& Indust;6;NULL;NULL
65213;TV fra ISS Kloak og Indus;6;NULL;NULL
40776;TV fra ISS Kloak og Indus;6;NULL;NULL
57596;TV fra ISS Kloak & Indust;6;NULL;NULL
59219;TV fra ISS Kloak og Indus;6;NULL;NULL
31579;TV fra ISS Kloak-& Indust;6;NULL;NULL
143315;vcs-cgm-181016_001;5;40;
52;INTERPOLERET BUNDKOTE;50;NULL;NULL
27692;TV fra ISS Kloak-& Indust;6;NULL;NULL
28774;TV fra ISS Kloak-& Indust;6;NULL;NULL
10231;TV fra ISS Kloak-& Indust;6;NULL;NULL
98463;vcs-cgm-180223;5;40;
19969;TV fra ISS Kloak-& Indust;6;NULL;NULL
162940;vcs-cgm-190827;5;40;
5004;TV fra ISS Kloak-& Indust;6;NULL;NULL
95;DAS5-20040318-5-0;5;NULL;NULL
192970;vcs-cgm-200623;5;40;
50371;TV fra ISS Kloak og Indus;6;NULL;NULL
21984;TV fra ISS Kloak & Indust;6;NULL;NULL
72;LE34-2012-07-05;5;20;NULL
32372;TV fra ISS Kloak-& Indust;6;NULL;NULL
57178;TV fra ISS Kloak og Indus;6;NULL;NULL
53975;TV fra ISS Kloak og Indus;6;NULL;NULL
14728;TV fra ISS Kloak-& Indust;6;NULL;NULL
109684;vcs-cgm-180424;5;40;
90451;vcs-cgm-171219;5;40;
26776;TV fra ISS Kloak og Indus;6;NULL;NULL
1801;Geopartner (Brøndrapport);7;NULL;NULL
118;LE34-2012-12-03;5;20;NULL
22385;TV fra ISS Kloak & Indust;6;NULL;NULL
23172;TV fra ISS Kloak & Indust;6;NULL;NULL
63607;TV fra ISS Kloak og Indus;6;NULL;NULL
112887;vcs-cgm-180516;5;40;
59617;TV fra ISS Kloak og Indus;6;NULL;NULL
42382;TV fra ISS Kloak og Indus;6;NULL;NULL
15578;TV fra ISS Kloak-& Indust;6;NULL;NULL
184958;Geopartner (Nivelleme_003;8;NULL;NULL
123315;vcs-cgm-180904;5;40;
31585;TV fra ISS Kloak-& Indust;6;NULL;NULL
35575;TV fra ISS Kloak-& Indust;6;NULL;NULL
50772;TV fra ISS Kloak og Indus;6;NULL;NULL
15601;TV fra ISS Kloak-& Indust;6;NULL;NULL
27749;TV fra ISS Kloak-& Indust;6;NULL;NULL
62820;TV fra ISS Kloak og Indus;6;NULL;NULL
79637;Geopartner Brøndrapport;7;NULL;NULL
92057;vcs-cgm-171213;5;40;
42777;TV fra ISS Kloak og Indus;6;NULL;NULL
26375;TV fra ISS Kloak og Indus;6;NULL;NULL
10251;TV fra ISS Kloak-& Indust;6;NULL;NULL
182150;vcs-lol-200108_001;5;40;
104483;vcs-cgm-180320_001;5;40;NULL
48373;TV fra ISS Kloak og Indus;6;NULL;NULL
13500;TV fra ISS Kloak og Indus;6;NULL;NULL
21575;TV fra ISS Kloak & Indust;6;NULL;NULL
78;ENTREPRENØR_2007/12/27;5;NULL;NULL
141715;vcs-cgm-181114;5;40;
13062;TV fra ISS Kloak-& Indust;6;NULL;NULL
15183;TV fra ISS Kloak-& Indust;6;NULL;NULL
14722;TV fra ISS Kloak-& Indust;6;NULL;NULL
27171;TV fra ISS Kloak og Indus;6;NULL;NULL
30374;TV fra ISS Kloak og Indus;6;NULL;NULL
57573;TV fra ISS Kloak og Indus;6;NULL;NULL
32;DAS5--50-0;50;NULL;NULL
39574;TV fra ISS Kloak og Indus;6;NULL;NULL
17971;TV fra ISS Kloak-& Indust;6;NULL;NULL
29979;TV fra ISS Kloak og Indus;6;NULL;NULL
192569;VCS-CGM-250620;5;NULL;NULL
10646;TV fra ISS Kloak-& Indust;6;NULL;NULL
75223;LIFA A/S_003;5;10;NULL
20779;TV fra ISS Kloak-& Indust;6;NULL;NULL
9813;TV fra ISS Kloak-& Indust;6;NULL;NULL
58011;TV fra ISS Kloak og Indus;6;NULL;NULL
36371;TV fra ISS Kloak og Indus;6;NULL;NULL
173342;vcs-cgm-191111;5;40;
12;" Ukendt-1";0;NULL;NULL
178;VANDCENTER SYD-xxx;5;40;NULL
152927;vcs-cgm-190124;5;40;
31980;TV fra ISS Kloak og Indus;6;NULL;NULL
46375;TV fra ISS Kloak og Indus;6;NULL;NULL
21569;TV fra ISS Kloak & Indust;6;NULL;NULL
25980;TV fra ISS Kloak & Indust;6;NULL;NULL
35;DIGITALISERET-2010;3;NULL;Data er  digitaliseret/konverteret ud fra ældre MapInfolag
120106;vcs-cgm-180628;5;40;
33995;TV fra ISS Kloak-& Indust;6;NULL;NULL
62405;TV fra ISS Kloak og Indus;6;NULL;NULL
111685;vcs-cgm-180523;5;40;
13125;TV fra Sydjysk Kloak Indu;6;NULL;NULL
22777;TV fra ISS Kloak & Indust;6;NULL;NULL
30772;TV fra ISS Kloak og Indus;6;NULL;NULL
155;LE34-2013-05-22;5;20;NULL
7815;TV fra ISS Kloak-& Indust;6;NULL;NULL
13102;TV fra Sydjysk Kloak Indu;6;NULL;NULL
19176;TV fra ISS Kloak-& Indust;6;NULL;NULL
28373;TV fra ISS Kloak-& Indust;6;NULL;NULL
33975;TV fra ISS Kloak-& Indust;6;NULL;NULL
14742;TV fra ISS Kloak-& Indust;6;NULL;NULL
42774;TV fra ISS Kloak og Indus;6;NULL;NULL
48774;TV fra ISS Kloak og Indus;6;NULL;NULL
130514;TVInspektion_Per Aarsleff;6;NULL;NULL
132512;MP A/S;5;40;
63215;TV fra ISS Kloak og Indus;6;NULL;NULL
135;LE34-2013-02-21;5;20;NULL
16783;TV fra ISS Kloak Industri;6;NULL;NULL
14768;TV fra ISS Kloak-& Indust;6;NULL;NULL
112;LE34-2012-10-29;5;20;NULL
13145;TV fra ISS Kloak og Indus;6;NULL;NULL
25170;TV-Hans Jørgensen & Søn A;0;NULL;NULL
31974;TV fra ISS Kloak-& Indust;6;NULL;NULL
95661;vcs-cgm-180131;5;40;
59614;TV fra ISS Kloak og Indus;6;NULL;NULL
46381;TV fra ISS Kloak og Indus;6;NULL;NULL
175343;vcs-cgm-191126;5;40;
10228;TV fra ISS Kloak-& Indust;6;NULL;NULL
60006;TV fra N.C. Johansen & Sø;6;NULL;NULL
23175;TV fra ISS Kloak & Indust;6;NULL;NULL
55;DIGITALISERET 22-04-2009;3;NULL;NULL
98864;vcs-cgm-180307;5;40;
16371;TV fra ISS Kloak Industri;6;NULL;NULL
65210;TV fra ISS Kloak og Indus;6;NULL;NULL
31582;TV fra ISS Kloak-& Indust;6;NULL;NULL
19574;TV fra ISS Kloak-& Indust;6;NULL;NULL
98;TV-INSPEKTION;6;NULL;NULL
146515;TVInspektion_NORVA24 Danm;6;NULL;NULL
13082;TV fra ISS Kloak-& Indust;6;NULL;NULL
21987;TV fra ISS Kloak & Indust;6;NULL;NULL
171742;vcs-cgm-191101;5;40;
166140;vcs-cgm_026;5;40;
19972;TV fra ISS Kloak-& Indust;6;NULL;NULL
15595;TV fra ISS Kloak-& Indust;6;NULL;NULL
21589;TV fra ISS Kloak & Indust;6;NULL;NULL
14705;TV fra ISS Kloak-& Indust;6;NULL;NULL
28771;TV fra ISS Kloak-& Indust;6;NULL;NULL
198;D20140205VANDCENTER SYD;5;40;NULL
57593;TV fra ISS Kloak og Indus;6;NULL;NULL
59216;TV fra ISS Kloak og Indus;6;NULL;NULL
46773;TV fra ISS Kloak og Indus;6;NULL;NULL
28379;TV fra ISS Kloak-& Indust;6;NULL;NULL
180547;vcs-lol-200108;5;40;NULL
9012;TV fra ISS Kloak-& Indust;6;NULL;NULL
56371;Geopartner (Drone);5;NULL;NULL
154931;vcs-cgm-190318-1_001;6;500;
59620;TV fra ISS Kloak og Indus;6;NULL;NULL
41976;TV fra ISS Kloak og Indus;6;NULL;NULL
17170;TV fra ISS Kloak Industri;6;NULL;NULL
38372;TV fra ISS Kloak og Indus;6;NULL;NULL
22388;TV fra ISS Kloak & Indust;6;NULL;NULL
144;LE34-2013-03-14;5;20;NULL
62823;TV fra ISS Kloak og Indus;6;NULL;NULL
147320;vcs-cgm-190110;5;40;
32776;TV fra ISS Kloak og Indus;6;NULL;NULL
94459;vcs-cgm-180117;5;40;
22789;TV fra ISS Kloak & Indust;6;NULL;NULL
180948;vcs-cgm-190115;5;40;
167;LE34-2013-06-18;5;20;NULL
143716;vcs-cgm-181011-1-1;1;40;
13065;TV fra ISS Kloak-& Indust;6;NULL;NULL
28385;TV fra ISS Kloak-& Indust;6;NULL;NULL
21578;TV fra ISS Kloak & Indust;6;NULL;NULL
1000;vcs-cgm XY(TV) DIM(P);6;200;NULL
14771;TV fra ISS Kloak-& Indust;6;NULL;NULL
56772;TV fra ISS Kloak og Indus;6;NULL;NULL
10217;TV fra ISS Kloak-& Indust;6;NULL;NULL
57582;TV fra ISS Kloak og Indus;6;NULL;NULL
98867;vcs-cgm-180227-1;5;40;
31588;TV fra ISS Kloak-& Indust;6;NULL;NULL
13071;TV fra ISS Kloak-& Indust;6;NULL;NULL
15604;TV fra ISS Kloak-& Indust;6;NULL;NULL
