PointNo,PointID,East,North,Elevation,Date,CLASS,typename
8390676,63,587581.9596,6139177.917,1.533078,05-10-2018/08:03:06.0,MEAS,Tree_ts
8390677,64,587585.1839,6139177.787,1.628305,05-10-2018/08:05:04.0,MEAS,Tree_ts
8390678,65,587587.0434,6139173.44,1.194996,05-10-2018/08:05:55.0,MEAS,Tree_ts
8390679,66,587601.4009,6139184.618,1.464967,05-10-2018/08:07:04.0,MEAS,Tree_ts
8390680,67,587597.2783,6139195.324,1.31208,05-10-2018/08:07:57.0,MEAS,Tree_ts
8390571,68,598311.18,6146570.33,1.85,01-10-2018/08:46:09.0,FIX,Tree_ts
8390575,69,598311.18,6146570.33,1.85,01-10-2018/08:55:55.0,FIX,Tree_ts
8390581,70,587685.53,6139255.45,1,05-10-2018/05:43:03.0,FIX,Tree_ts
8390585,71,587685.53,6139255.45,1,05-10-2018/05:43:29.0,FIX,Tree_ts
8390645,72,587563.03,6139173.15,1.7,05-10-2018/07:28:01.0,FIX,Tree_ts
8390651,73,587563.03,6139173.15,1.7,05-10-2018/07:33:47.0,FIX,Tree_ts
8390656,74,587563.03,6139173.15,1.7,05-10-2018/07:38:17.0,FIX,Tree_ts
8390569,75,598307.86,6146572.8,1.85,01-10-2018/08:46:07.0,FIX,Tree_ts
8390579,76,587684.68,6139234.94,1.75,05-10-2018/05:43:01.0,FIX,Tree_ts
8390643,77,587569.52,6139162.73,1.7,05-10-2018/07:27:58.0,FIX,Tree_ts
