#,id,name,description,geometry
int,int,str,str,str
19,1071755645,Bygning,Bygning,"Polygon;587674.32,6139661.25;587679.66,6139664.44;587684.5,6139656.34;587682.92,6139655.4;587682.53,6139654.67;587682.7,6139653.51;587683.64,6139652.81;587684.77,6139653.02;587686.22,6139653.89;587686.73,6139652.98;587682.15,6139649.23;587687.69,6139640.67;587690.54,6139642.85;587691.82,6139641.39;587698.21,6139647.0;587697.05,6139648.32;587697.78,6139648.97;587697.97,6139649.5;587697.99,6139649.93;587697.83,6139650.5;587696.93,6139651.52;587681.92,6139675.91;587676.55,6139672.28;587670.02,6139668.3;587674.32,6139661.25"
20,1071755659,Bygning,Bygning,"Polygon;587568.31,6139687.49;587574.72,6139676.65;587590.71,6139685.7;587596.8,6139689.14;587597.61,6139689.61;587591.28,6139700.66;587591.05,6139700.53;587584.49,6139696.6;587588.23,6139690.06;587580.97,6139685.9;587578.94,6139689.44;587584.7,6139692.73;587582.87,6139695.92;587568.6,6139687.66;587568.31,6139687.49"
21,1071755642,Bygning,Bygning,"Polygon;587655.83,6139633.44;587651.34,6139640.95;587650.65,6139640.54;587648.36,6139644.37;587640.77,6139639.76;587647.63,6139628.46;587655.83,6139633.44"
22,1071755643,Bygning,Bygning,"Polygon;587648.36,6139644.37;587645.18,6139649.69;587647.13,6139650.86;587642.54,6139658.52;587635.57,6139654.35;587635.15,6139655.05;587632.47,6139653.44;587633.16,6139652.3;587640.77,6139639.76;587648.36,6139644.37"
23,1071768047,Bygning,Bygning,"Polygon;587574.98,6139629.93;587584.56,6139613.64;587587.63,6139615.42;587588.76,6139613.45;587584.59,6139611.04;587584.76,6139610.76;587585.89,6139607.68;587598.3,6139614.15;587585.58,6139636.12;587578.32,6139632.11;587574.98,6139629.93"
24,1071768048,Bygning,Bygning,"Polygon;587564.83,6139636.12;587566.22,6139633.72;587568.27,6139634.91;587568.52,6139634.47;587568.94,6139633.74;587569.48,6139634.05;587575.3,6139637.42;587576.11,6139636.02;587572.59,6139633.99;587574.98,6139629.93;587578.32,6139632.11;587585.58,6139636.12;587587.09,6139637.0;587584.93,6139640.73;587583.35,6139639.82;587582.47,6139641.34;587583.78,6139642.09;587581.98,6139645.2;587580.77,6139644.5;587564.83,6139636.12"
25,1071768049,Bygning,Bygning,"Polygon;587580.77,6139644.5;587580.44,6139645.07;587575.87,6139653.12;587575.65,6139653.49;587554.43,6139641.2;587557.98,6139635.07;587557.12,6139634.57;587558.29,6139632.56;587559.15,6139633.06;587559.25,6139632.89;587564.83,6139636.12;587580.77,6139644.5"
26,1071768050,Bygning,Bygning,"Polygon;587549.44,6139649.82;587554.43,6139641.2;587575.65,6139653.49;587577.28,6139654.43;587573.44,6139661.06;587571.67,6139660.04;587570.49,6139662.07;587549.44,6139649.82"
27,1071768051,Bygning,Bygning,"Polygon;587570.49,6139662.07;587571.88,6139662.88;587568.21,6139669.22;587566.9,6139668.45;587545.52,6139656.94;587544.36,6139656.26;587548.43,6139649.23;587549.44,6139649.82;587570.49,6139662.07"
28,1071768052,Bygning,Bygning,"Polygon;587566.9,6139668.45;587561.87,6139677.13;587540.87,6139664.97;587545.52,6139656.94;587566.9,6139668.45"
29,1071768055,Bygning,Bygning,"Polygon;587524.52,6139606.51;587518.85,6139617.3;587516.39,6139616.18;587505.65,6139639.71;587505.96,6139640.04;587497.32,6139655.83;587491.75,6139653.19;587490.93,6139654.92;587487.33,6139653.22;587495.49,6139636.01;587496.44,6139636.45;587496.74,6139635.8;587496.36,6139635.63;587506.37,6139613.92;587507.04,6139614.21;587507.95,6139612.1;587504.1,6139610.43;587499.09,6139621.98;587496.81,6139621.0;587495.74,6139623.47;587488.57,6139620.36;587493.14,6139609.83;587494.43,6139610.39;587495.98,6139606.83;587494.64,6139606.25;587502.84,6139597.4;587504.99,6139592.44;587506.74,6139588.41;587512.34,6139590.44;587507.51,6139600.21;587516.03,6139604.42;587516.74,6139602.42;587524.52,6139606.51"
30,1071707134,Bygning,Bygning,"Polygon;587610.77,6139682.06;587608.7,6139680.83;587608.94,6139680.43;587606.11,6139678.73;587607.22,6139676.87;587608.54,6139677.66;587611.39,6139672.87;587617.14,6139676.3;587616.3,6139677.69;587621.04,6139680.52;587621.95,6139678.99;587627.19,6139682.12;587622.92,6139689.27;587618.94,6139686.9;587610.77,6139682.06"
31,1071707135,Bygning,Bygning,"Polygon;587618.94,6139686.9;587606.6,6139707.57;587610.3,6139709.78;587606.04,6139716.92;587600.69,6139713.73;587601.75,6139711.95;587600.87,6139711.42;587599.96,6139712.94;587594.35,6139709.58;587600.01,6139700.1;587598.38,6139699.13;587599.27,6139697.63;587600.9,6139698.6;587610.77,6139682.06;587618.94,6139686.9"
32,1071755629,Bygning,Bygning,"Polygon;587624.18,6139626.85;587615.56,6139622.31;587608.5,6139618.35;587608.25,6139618.2;587608.5,6139617.78;587607.06,6139616.93;587609.44,6139612.91;587610.87,6139613.76;587616.85,6139603.64;587615.65,6139602.94;587617.77,6139599.36;587618.96,6139600.06;587619.53,6139599.1;587620.01,6139598.87;587620.54,6139598.73;587621.08,6139598.71;587636.67,6139605.17;587625.82,6139627.64;587624.18,6139626.85"
33,1071755639,Bygning,Bygning,"Polygon;587596.05,6139676.37;587590.75,6139673.31;587589.47,6139675.54;587592.9,6139677.41;587591.51,6139679.81;587593.43,6139680.92;587590.71,6139685.7;587574.72,6139676.65;587574.53,6139676.54;587574.75,6139676.17;587573.66,6139675.53;587575.64,6139672.17;587576.73,6139672.82;587577.02,6139672.32;587575.84,6139671.62;587577.54,6139668.73;587578.73,6139669.43;587579.95,6139667.36;587578.81,6139666.68;587581.24,6139662.56;587582.38,6139663.24;587582.68,6139662.74;587598.56,6139672.12;587596.05,6139676.37"
34,1071750155,Bygning,Bygning,"Polygon;587656.38,6139607.11;587655.91,6139606.8;587655.35,6139607.67;587645.4,6139601.21;587646.22,6139599.94;587653.09,6139590.4;587658.71,6139591.27;587661.0,6139585.55;587661.71,6139585.64;587663.62,6139582.04;587666.71,6139583.15;587666.39,6139583.82;587667.29,6139584.26;587666.78,6139585.33;587668.56,6139586.19;587656.38,6139607.11"
35,1071750158,Bygning,Bygning,"Polygon;587706.87,6139609.87;587705.61,6139609.41;587708.28,6139602.14;587715.08,6139604.64;587712.66,6139611.22;587706.87,6139609.87"
36,1071755630,Bygning,Bygning,"Polygon;587647.63,6139628.46;587654.07,6139617.84;587655.87,6139619.05;587656.93,6139617.45;587662.68,6139621.29;587661.65,6139622.83;587663.63,6139624.15;587657.43,6139634.47;587655.83,6139633.44;587647.63,6139628.46"
37,1071755635,Bygning,Bygning,"Polygon;587602.41,6139656.21;587598.77,6139654.13;587597.62,6139656.15;587589.35,6139651.47;587594.21,6139643.24;587603.08,6139648.29;587602.01,6139650.16;587604.92,6139651.83;587602.41,6139656.21"
38,1071755644,Bygning,Bygning,"Polygon;587673.77,6139630.93;587680.57,6139635.47;587675.06,6139644.08;587673.94,6139643.38;587650.71,6139680.08;587648.04,6139680.85;587647.4,6139682.4;587644.25,6139681.11;587673.77,6139630.93"
39,1071755646,Bygning,Bygning,"Polygon;587670.02,6139668.3;587669.21,6139667.8;587657.91,6139687.02;587653.0,6139684.14;587677.07,6139645.33;587675.06,6139644.08;587680.57,6139635.47;587687.92,6139640.38;587687.69,6139640.67;587682.15,6139649.23;587674.32,6139661.25;587670.02,6139668.3"
40,1071755652,Bygning,Bygning,"Polygon;587652.32,6139696.91;587651.87,6139696.64;587649.06,6139701.27;587648.41,6139700.88;587643.75,6139708.56;587643.03,6139708.13;587632.48,6139702.17;587641.22,6139686.52;587653.87,6139694.35;587652.32,6139696.91"
41,1200217415,Bygning,Bygning,"Polygon;587638.05,6139665.81;587627.22,6139659.45;587622.28,6139667.88;587632.55,6139673.76;587638.05,6139665.81"
42,1071767125,Bygning,Bygning,"Polygon;587661.47,6139501.16;587677.21,6139504.76;587689.99,6139504.82;587690.1,6139545.18;587673.97,6139549.7;587671.88,6139540.62;587670.88,6139537.27;587674.86,6139536.22;587673.5,6139532.73;587673.89,6139518.29;587658.36,6139514.7;587661.47,6139501.16"
