#,id,description,geometry
int,int,str,str
28,1034234882,Bygning,"Polygon;587805.65,6137438.75;587807.72,6137438.48;587807.31,6137435.29;587816.4,6137434.14;587816.83,6137437.29;587817.25,6137437.23;587819.18,6137452.31;587816.53,6137452.65;587816.85,6137455.19;587808.71,6137456.23;587808.39,6137453.7;587807.58,6137453.8;587805.65,6137438.75"
29,1034235035,Bygning,"Polygon;587890.28,6137533.03;587894.94,6137532.7;587895.58,6137541.71;587890.93,6137542.04;587890.28,6137533.03"
30,1034235085,Bygning,"Polygon;587900.58,6137593.04;587899.84,6137587.01;587911.67,6137585.57;587911.93,6137587.7;587915.0,6137587.33;587914.31,6137581.63;587932.72,6137579.38;587933.89,6137588.97;587900.58,6137593.04"
31,1034242826,Bygning,"Polygon;587840.63,6137471.75;587850.49,6137470.49;587851.83,6137480.94;587841.97,6137482.2;587840.63,6137471.75"
32,1071766659,Bygning,"Polygon;587848.79,6137428.2;587849.18,6137431.34;587853.95,6137430.76;587854.67,6137436.75;587836.33,6137438.96;587835.41,6137431.34;587839.69,6137430.83;587839.44,6137428.74;587842.09,6137428.41;587848.73,6137427.62;587848.79,6137428.2"
33,1095496617,Bygning,"Polygon;587794.13,6137573.53;587793.52,6137571.62;587794.87,6137570.14;587796.83,6137570.57;587797.44,6137572.48;587796.09,6137573.96;587794.13,6137573.53"
34,1071746110,Bygning,"Polygon;587793.65,6137580.85;587795.2,6137578.11;587796.67,6137578.99;587797.2,6137581.56;587795.39,6137584.51;587791.62,6137590.69;587788.88,6137589.01;587790.04,6137587.11;587793.65,6137580.85"
35,1034243018,Bygning,"Polygon;587866.34,6137454.73;587865.68,6137456.87;587863.64,6137457.17;587862.13,6137455.45;587862.97,6137453.46;587864.92,6137453.12;587866.34,6137454.73"
36,1071722110,Bygning,"Polygon;587847.36,6137454.73;587845.78,6137454.91;587845.54,6137452.89;587838.18,6137453.74;587837.02,6137443.67;587852.89,6137441.83;587852.94,6137442.25;587856.91,6137441.8;587857.44,6137446.42;587853.47,6137446.88;587853.96,6137451.15;587855.1,6137451.02;587855.41,6137453.65;587847.36,6137454.73"
37,1071722111,Bygning,"Polygon;587847.87,6137458.0;587847.36,6137454.73;587855.41,6137453.65;587855.99,6137457.38;587849.65,6137458.36;587849.55,6137457.74;587847.87,6137458.0"
