#,id,description,geometry
int,int,str,str
186,1034184767,Hegn,"LineString;587792.81,6137549.14;587795.77,6137546.68;587798.78,6137544.28;587803.08,6137542.79;587810.67,6137541.56;587814.74,6137577.85"
187,1034184781,Hegn,"LineString;587809.18,6137458.32;587803.86,6137459.03"
188,1034184906,Hegn,"LineString;587761.68,6137509.58;587751.15,6137503.89"
189,1034184910,Hegn,"LineString;587802.78,6137491.26;587790.69,6137483.43"
190,1034184914,Hegn,"LineString;587802.78,6137491.26;587789.52,6137506.21;587771.81,6137526.1"
191,1034185386,Hegn,"LineString;587910.09,6137529.67;587927.38,6137527.52"
192,1034185389,Hegn,"LineString;587753.33,6137472.28;587738.31,6137496.96"
193,1034185425,Hegn,"LineString;587804.81,6137502.17;587804.39,6137492.3;587802.78,6137491.26"
194,1034184902,Hegn,"LineString;587726.59,6137490.9;587738.31,6137496.96"
195,1034184921,Hegn,"LineString;587747.1,6137571.44;587739.82,6137568.0"
196,1034184940,Hegn,"LineString;587739.82,6137568.0;587743.0,6137562.08;587748.14,6137550.33"
197,1095514166,Hegn,"LineString;587853.58,6137573.36;587854.57,6137582.11;587873.03,6137579.92"
198,1095514186,Hegn,"LineString;587867.92,6137535.0;587884.11,6137533.03"
199,1034212660,Hegn,"LineString;587840.33,6137505.88;587865.66,6137503.36"
200,1034212667,Hegn,"LineString;587881.61,6137471.37;587862.43,6137473.9;587863.35,6137482.3"
201,1034212671,Hegn,"LineString;587832.21,6137442.46;587831.03,6137430.41"
202,1034212681,Hegn,"LineString;587878.76,6137451.04;587880.77,6137465.37"
203,1034213351,Hegn,"LineString;587932.55,6137490.43;587908.92,6137493.43"
204,1034184714,Hegn,"LineString;587910.09,6137529.67;587888.44,6137532.0;587889.09,6137538.13"
205,1034184717,Hegn,"LineString;587776.9,6137583.05;587773.19,6137580.65;587783.84,6137562.78;587789.75,6137566.23"
206,1034184750,Hegn,"LineString;587838.63,6137584.92;587838.05,6137578.95"
207,1034184760,Hegn,"LineString;587786.1,6137592.92;587788.88,6137589.01"
208,1034184765,Hegn,"LineString;587792.81,6137549.14;587787.91,6137555.33"
209,1034184777,Hegn,"LineString;587811.24,6137432.74;587819.62,6137431.75;587822.21,6137451.81"
210,1034184779,Hegn,"LineString;587790.67,6137469.7;587775.57,6137459.94;587791.33,6137435.34"
211,1034184782,Hegn,"LineString;587803.86,6137459.03;587795.25,6137472.18;587811.77,6137482.72;587823.84,6137481.01;587825.02,6137479.21;587822.57,6137459.9;587820.34,6137460.13"
212,1034184783,Hegn,"LineString;587793.1,6137435.07;587798.95,6137434.16"
213,1034184784,Hegn,"LineString;587803.86,6137459.03;587793.1,6137435.07"
214,1034184785,Hegn,"LineString;587791.33,6137435.34;587793.1,6137435.07"
215,1034184787,Hegn,"LineString;587818.44,6137427.73;587816.96,6137415.66"
216,1034184905,Hegn,"LineString;587779.96,6137486.64;587774.0,6137495.85;587761.68,6137509.58"
217,1034184909,Hegn,"LineString;587758.36,6137514.55;587750.83,6137525.84;587765.66,6137538.44;587778.34,6137548.3"
218,1034184911,Hegn,"LineString;587783.84,6137541.81;587786.44,6137538.66"
219,1034184912,Hegn,"LineString;587786.44,6137538.66;587771.81,6137526.1"
220,1034184913,Hegn,"LineString;587771.81,6137526.1;587758.36,6137514.55"
221,1034184915,Hegn,"LineString;587786.44,6137538.66;587788.86,6137536.58;587792.57,6137534.37;587797.49,6137532.35;587796.37,6137528.32"
222,1034184920,Hegn,"LineString;587766.21,6137561.56;587769.42,6137563.39;587774.85,6137554.43"
223,1034184939,Hegn,"LineString;587754.85,6137554.47;587748.14,6137550.33"
224,1034185369,Hegn,"LineString;587737.05,6137541.04;587743.95,6137523.81"
225,1034185394,Hegn,"LineString;587756.02,6137533.24;587777.14,6137550.82"
226,1034185895,Hegn,"LineString;587782.52,6137421.04;587791.33,6137435.34"
227,1034185970,Hegn,"LineString;587917.01,6137554.0;587912.88,6137554.55;587910.09,6137529.67"
228,1034184962,Hegn,"LineString;587773.28,6137612.24;587777.03,6137606.19"
229,1034184963,Hegn,"LineString;587754.84,6137643.2;587736.47,6137632.27;587744.33,6137617.77;587757.05,6137594.55;587774.43,6137604.63"
230,1034184716,Hegn,"LineString;587839.75,6137591.43;587841.6,6137605.53;587840.4,6137605.66"
231,1034184728,Hegn,"LineString;587894.84,6137577.34;587896.7,6137591.44"
232,1034184729,Hegn,"LineString;587896.7,6137591.44;587897.22,6137595.37"
233,1034184731,Hegn,"LineString;587897.22,6137595.37;587897.99,6137601.2;587898.57,6137606.62"
234,1034184747,Hegn,"LineString;587896.7,6137591.44;587862.35,6137595.45;587862.61,6137597.33"
235,1034184748,Hegn,"LineString;587862.61,6137597.33;587862.9,6137599.39"
236,1034184749,Hegn,"LineString;587857.81,6137596.92;587857.96,6137597.82;587862.61,6137597.33"
237,1034184751,Hegn,"LineString;587831.18,6137556.65;587831.68,6137560.76"
238,1034184758,Hegn,"LineString;587822.45,6137576.9;587814.74,6137577.85"
239,1034184759,Hegn,"LineString;587798.71,6137571.61;587795.2,6137578.11"
240,1034184764,Hegn,"LineString;587799.83,6137601.32;587814.74,6137577.85"
241,1034184766,Hegn,"LineString;587794.43,6137551.52;587792.81,6137549.14"
242,1034184941,Hegn,"LineString;587786.84,6137620.02;587790.31,6137614.68;587779.39,6137607.81"
243,1034185853,Hegn,"LineString;587830.52,6137550.78;587828.87,6137539.52"
244,1034115486,Trae,"Point;587812.65,6137613.92"
245,1034115487,Trae,"Point;587798.26,6137615.56"
246,1034115488,Trae,"Point;587783.17,6137606.24"
247,1034115489,Trae,"Point;587772.05,6137599.31"
248,1034115490,Trae,"Point;587765.05,6137595.22"
249,1034115491,Trae,"Point;587771.24,6137588.29"
250,1034115492,Trae,"Point;587777.05,6137591.77"
251,1034137039,Trae,"Point;587899.02,6137522.21"
252,1034137040,Trae,"Point;587889.21,6137523.16"
253,1034137041,Trae,"Point;587912.94,6137520.46"
254,1034137042,Trae,"Point;587924.16,6137519.23"
255,1034160103,Nedloebsrist,"Point;587838.04,6137505.63"
256,1034160104,Nedloebsrist,"Point;587834.14,6137474.73"
257,1034160105,Nedloebsrist,"Point;587832.0,6137456.9"
258,1034160106,Nedloebsrist,"Point;587829.37,6137436.48"
259,1034127777,Nedloebsrist,"Point;587868.05,6137532.25"
260,1034127778,Nedloebsrist,"Point;587849.76,6137534.55"
261,1034127779,Nedloebsrist,"Point;587837.82,6137536.01"
262,1034127780,Nedloebsrist,"Point;587816.5,6137538.62"
263,1034127781,Nedloebsrist,"Point;587830.37,6137495.23"
264,1034127782,Nedloebsrist,"Point;587826.16,6137460.36"
265,1034127783,Nedloebsrist,"Point;587822.61,6137432.44"
266,1034128071,Nedloebsrist,"Point;587755.95,6137580.88"
267,1034128072,Nedloebsrist,"Point;587777.85,6137593.55"
268,1034128073,Nedloebsrist,"Point;587774.61,6137599.75"
269,1034128074,Nedloebsrist,"Point;587801.08,6137616.2"
270,1034128075,Nedloebsrist,"Point;587804.88,6137610.47"
271,1034128078,Nedloebsrist,"Point;587780.94,6137561.97"
272,1034128079,Nedloebsrist,"Point;587780.69,6137550.13"
273,1034128080,Nedloebsrist,"Point;587793.84,6137543.89"
274,1034128081,Nedloebsrist,"Point;587805.87,6137533.28"
275,1034128082,Nedloebsrist,"Point;587820.16,6137490.6"
276,1034128083,Nedloebsrist,"Point;587818.26,6137484.63"
277,1034128084,Nedloebsrist,"Point;587807.91,6137497.52"
278,1034128085,Nedloebsrist,"Point;587814.14,6137496.99"
279,1034128086,Nedloebsrist,"Point;587810.37,6137516.73"
280,1034128087,Nedloebsrist,"Point;587783.79,6137475.82"
281,1034128088,Nedloebsrist,"Point;587786.64,6137470.23"
282,1034128089,Nedloebsrist,"Point;587762.07,6137462.0"
283,1034128090,Nedloebsrist,"Point;587765.42,6137456.84"
284,1034128282,Nedloebsrist,"Point;587846.74,6137609.84"
