ID,time,lat,latDir,lon,lonDir,fix,nSat,hError,note,typename,date
67,115956.9,55.37591075,N,10.3857073,E,4,7,1.7,,Downspout Grille,08/11/2020
69,120536.5,55.3759041,N,10.3858047,E,4,5,6.7,,Downspout Grille,08/11/2020
70,120640.7,55.37571977,N,10.38532222,E,4,7,1.9,,Downspout Grille,08/11/2020
71,120656.25,55.37568682,N,10.38531933,E,4,9,1.1,,Manhole Cover,08/11/2020
72,120714.3,55.3756701,N,10.38536133,E,4,10,1.1,,Downspout Grille,08/11/2020
73,120731.1,55.37564402,N,10.38536268,E,4,9,1.2,,Light Fixture,08/11/2020
74,120815.6,55.37559903,N,10.38497272,E,4,10,1.1,,Downspout Grille,08/11/2020
75,120847.65,55.37550725,N,10.38496693,E,4,7,1.9,,Light Fixture,08/11/2020
76,120913.3,55.3754951,N,10.38486325,E,4,6,2.7,,Downspout Grille,08/11/2020
77,120948.6,55.37554792,N,10.38480655,E,4,7,5.7,,Downspout Grille,08/11/2020
78,121107,55.37558433,N,10.38519693,E,4,8,1.5,,Fuse Box,08/11/2020
80,121252.75,55.37575842,N,10.38569228,E,4,9,1.2,,Light Fixture,08/11/2020
81,121301.25,55.37576625,N,10.38572143,E,4,7,1.3,,Fuse Box,08/11/2020
83,121345.35,55.37584577,N,10.38589748,E,4,7,1.6,,Downspout Grille,08/11/2020
84,121357.2,55.37579385,N,10.38586732,E,4,9,1.2,,Downspout Grille,08/11/2020
85,121415.15,55.37576263,N,10.38594853,E,4,6,2.5,,Light Fixture,08/11/2020
86,121449.95,55.37580988,N,10.38601838,E,4,6,7,,Manhole Cover,08/11/2020
87,121619.45,55.37588545,N,10.38606265,E,4,7,1.1,,Downspout Grille,08/11/2020
88,121646,55.37585753,N,10.38614038,E,4,9,1.2,,Manhole Cover,08/11/2020
89,121757.25,55.37615198,N,10.38617573,E,4,10,1.4,,Manhole Cover,08/11/2020
91,121850.35,55.37613687,N,10.38625833,E,4,4,1.5,,Fuse Box,08/11/2020
92,N/A,55.3760267,N,10.3862267,E,N/A,N/A,N/A,"Using coordinate from GeoDanmark, we can't achieve better results.",Light Fixture,16/11/2020
93,122329.7,55.37596283,N,10.38618427,E,5,11,1,,Downspout Grille,08/11/2020
94,122512.95,55.37580902,N,10.38617747,E,5,8,1.9,,Fuse Box,08/11/2020
