Feature Tag,English,id.lokalId,Feature #,Latitude,Longtitude,Timestamp,Feature,Accessibility,Occluded Visibility,Domain,Category,Note,,
Broenddaeksel,Manhole Cover,1103665981,2,55.40782779565958,10.379083970428853,9/12/2020 20:02:01,Exists,100,100,Public,True Positive,,,
Broenddaeksel,Manhole Cover,1034480001,1,55.407897336260284,10.3792767216096,9/12/2020 20:01:39,Exists,8,65,Public,True Positive,,,
Broenddaeksel,Manhole Cover,1034480002,0,55.407993220425375,10.379611756330185,9/12/2020 19:50:38,Does not exist,,,Public,False Positive,,,
Nedloebsrist,Downspout Grille,N/A,-1,,,9/12/2020 18:38:32,Is not on map,100,100,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-2,,,9/12/2020 18:38:57,Is not on map,100,100,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-3,,,9/12/2020 18:39:28,Is not on map,100,100,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-4,,,9/12/2020 18:40:44,Is not on map,100,100,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-5,,,9/12/2020 18:48:39,Is not on map,100,100,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-6,,,9/12/2020 18:55:43,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-7,,,9/12/2020 19:01:46,Is not on map,54,50,Public,False Negative,,,
Mast,Mast (light fixture),N/A,-8,,,9/12/2020 19:08:57,Is not on map,100,100,Public,False Negative,,,
Mast,Mast (light fixture),N/A,-9,,,9/12/2020 19:09:12,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-10,,,9/12/2020 19:09:48,Is not on map,100,100,Public,False Negative,,,
Mast,Mast (light fixture),N/A,-11,,,9/12/2020 19:12:22,Is not on map,100,100,Public,False Negative,,,
Mast,Mast (light fixture),N/A,-12,,,9/12/2020 19:18:39,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-13,,,9/12/2020 19:20:31,Is not on map,83,65,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-14,,,9/12/2020 19:21:05,Is not on map,100,100,Public,False Negative,,,
Mast,Mast (light fixture),N/A,-15,,,9/12/2020 19:29:35,Is not on map,33,35,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-16,,,9/12/2020 19:21:43,Is not on map,100,100,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-17,,,9/12/2020 19:29:53,Is not on map,100,100,Public,False Negative,,,
Chikane,Chicane,N/A,-18,,,9/12/2020 19:30:37,Is not on map,100,100,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-19,,,9/12/2020 19:30:58,Is not on map,100,100,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-20,,,9/12/2020 19:32:09,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-21,,,9/12/2020 19:32:26,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-22,,,9/12/2020 19:32:46,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-23,,,9/12/2020 19:33:01,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-24,,,9/12/2020 19:33:20,Is not on map,83,0,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-25,,,9/12/2020 19:34:09,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-26,,,9/12/2020 19:34:23,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-27,,,9/12/2020 19:34:43,Is not on map,75,0,Public,False Negative,,,
Chikane,Chicane,N/A,-28,,,9/12/2020 19:35:31,Is not on map,100,100,Public,False Negative,,,
Chikane,Chicane,N/A,-29,,,9/12/2020 19:35:44,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-30,,,9/12/2020 19:36:28,Is not on map,40,0,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-31,,,9/12/2020 19:37:28,Is not on map,47,25,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-32,,,9/12/2020 19:47:23,Is not on map,75,0,Public,False Negative,,,
Mast,Mast (light fixture),N/A,-33,,,9/12/2020 19:48:18,Is not on map,56,0,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-34,,,9/12/2020 19:48:46,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-35,,,9/12/2020 19:57:46,Is not on map,33,7,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-36,,,9/12/2020 19:58:04,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-37,,,9/12/2020 19:59:30,Is not on map,100,100,Public,False Negative,,,
Mast,Mast (light fixture),N/A,-38,,,9/12/2020 20:00:23,Is not on map,0,60,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-39,,,9/12/2020 20:01:05,Is not on map,25,80,Public,False Negative,,,
Bygning,Building,N/A,-40,,,9/12/2020 20:04:56,Is not on map,100,100,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-41,,,9/12/2020 20:14:15,Is not on map,100,100,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-42,,,9/12/2020 20:15:08,Is not on map,83,0,Public,False Negative,,,
Nedloebsrist,Downspout Grille,N/A,-43,,,9/12/2020 20:18:25,Is not on map,100,100,Public,False Negative,,,
Broenddaeksel,Manhole Cover,N/A,-44,,,9/22/2020 13:23:20,Is not on map,100,100,Public,False Negative,Broenddaeksel,,
Broenddaeksel,Manhole Cover,N/A,-45,,,9/22/2020 13:23:20,Is not on map,78,0,Public,False Negative,Broenddaeksel,,
Broenddaeksel,Manhole Cover,N/A,-46,,,9/22/2020 13:23:20,Is not on map,28,0,Public,False Negative,Broenddaeksel,,
Broenddaeksel,Manhole Cover,N/A,-47,,,9/22/2020 13:23:20,Is not on map,61,0,Public,False Negative,Broenddaeksel,,
Broenddaeksel,Manhole Cover,N/A,-48,,,9/22/2020 13:23:20,Is not on map,75,0,Public,False Negative,Broenddaeksel,,
Broenddaeksel,Manhole Cover,N/A,-49,,,9/22/2020 13:23:20,Is not on map,100,100,Public,False Negative,Broenddaeksel,,
Broenddaeksel,Manhole Cover,N/A,-50,,,9/22/2020 13:23:20,Is not on map,61,0,Public,False Negative,Broenddaeksel,,
